Index,Facility_Name,Source_Facility_Type,ODCAF_Facility_Type,Provider,Unit,Street_No,Street_Name,Postal_Code,City,Prov_Terr,Source_Format_Address,CSD_Name,CSDUID,PRUID,Latitude,Longitude
10,12 Service Battalion Museum,military museum or fort,museum,canadian museums association,..,5500,no 4 rd,V6X 3L5,richmond,bc,5500 no. 4 rd the sherman armoury richmond british columbia v6x 3l5 canada,Richmond,5915015,59,49.1763542,-123.112783
15,15th Field Artillery Regiment Museum And Archives,museum/gallery,museum,vancouver,..,2025,11th av w,V6J 2C7,vancouver,bc,2025 w 11th av vancouver bc v6j 2c7,Vancouver,5915022,59,49.261938,-123.151123
24,221A Artist Run Centre,museum/gallery,museum,vancouver,..,221,georgia st e,V6A 1Z6,vancouver,bc,221 e georgia st vancouver bc v6a 1z6,Vancouver,5915022,59,49.278786,-123.098796
41,7302754 Canada Inc,artist making fine art and exhibiting in galleries,artist,burnaby,..,6909,mckay av,..,burnaby,bc,6909 mckay av,Burnaby,5915025,59,49.2210003,-123.0091848
97,Abc Heritage Preschool And Child Care,preschool and out of school care,heritage or historic site,township of langley,..,7949,208 st,..,township of langley,bc,..,Langley,5915001,59,49.14709735,-122.6467963
123,Adamsons Heritage Nursery Ltd,nursery,heritage or historic site,township of langley,..,1832,240 st,..,township of langley,bc,..,Langley,5915001,59,49.0347018,-122.5538744
140,Agassiz Library,fraser valley regional library,library or archives,government of british columbia,..,7140,cheam ave,V0M 1A0,north vancouver,bc,7140 cheam ave,Squawkum Creek 3,5909882,59,49.243554,-121.992562
157,Ahva Gallery,museum/gallery,gallery,vancouver,..,6398,university blvd,..,vancouver,bc,6398 university blvd vancouver bc,Greater Vancouver A,5915020,59,49.2639124,-123.2549451
213,Aldergrove Festival Days Society,non profit community events society,festival site,township of langley,..,6795,256 st,..,township of langley,bc,..,Langley,5915001,59,49.12579987,-122.5153837
215,Aldergrove Library,fraser valley regional library,library or archives,government of british columbia,..,26770,29th avenue,V4W 3B8,vancouver,bc,26770-29th avenue,Langley,5915001,59,49.055541,-122.481863
254,Alliance For Arts And Culture,museum/gallery,museum,vancouver,..,938,howe st,V6Z 1N9,vancouver,bc,938 howe st vancouver bc v6z 1n9,Vancouver,5915022,59,49.2803099,-123.1228359
268,Amelia Douglas Gallery,..,gallery,new westminster,..,..,..,..,new-westminster,bc,..,New Westminster,5915029,59,49.20354979,-122.9128583
286,Angie Au Hemphill Studio,individual artists,artist,new westminster,..,..,..,..,new-westminster,bc,..,New Westminster,5915029,59,49.21315638,-122.9153803
317,Anvil Centre/Museum And Archives,city cultural,museum,new westminster,..,777,columbia st,..,new-westminster,bc,..,New Westminster,5915029,59,49.20177737,-122.911292
318,Anza Club (Australia-New Zealand Association),theatre/performance,theatre/performance and concert hall,vancouver,..,3,8th av w,V5Y 1M8,vancouver,bc,3 w 8th av vancouver bc v5y 1m8,Vancouver,5915022,59,49.263974,-123.105108
337,Architectural Institute of BC Gallery,museum/gallery,gallery,vancouver,..,440,cambie st,V6B 2N5,vancouver,bc,440 cambie st vancouver bc v6b 2n5,Vancouver,5915022,59,49.2817199,-123.1095005
358,Archives of Anglican Provincial Synod of British Columbia And Diocese of New Westminster,historical society,library or archives,canadian museums association,..,1410,nanton ave,V6H 2E2,vancouver,bc,1410 nanton ave. vancouver british columbia v6h 2e2 canada,Vancouver,5915022,59,49.2476604,-123.1545938
394,Art Beatus,museum/gallery,museum,vancouver,..,808,nelson st,V6Z 2H2,vancouver,bc,808 nelson st vancouver bc v6z 2h2,Vancouver,5915022,59,49.2800409,-123.1249139
395,Art Club/Bard On Beach Production Centre Theatre,theatre/performance,theatre/performance and concert hall,vancouver,..,162,1st av w,V5Y 1A4,vancouver,bc,162 w 1st av vancouver bc v5y 1a4,Vancouver,5915022,59,49.270223,-123.108576
397,Art Emporium,museum/gallery,museum,vancouver,..,2928,granville st,V6H 3J7,vancouver,bc,2928 granville st vancouver bc v6h 3j7,Vancouver,5915022,59,49.2593906,-123.1383072
446,Art Works Gallery,museum/gallery,gallery,vancouver,..,225,smithe st,V6B 4X7,vancouver,bc,225 smithe st vancouver bc v6b 4x7,Vancouver,5915022,59,49.2775077,-123.1165781
452,Arteclectica Gallery,office for web based art gallery,gallery,township of langley,..,9472,waska st,..,township of langley,bc,..,Langley,5915001,59,49.17478795,-122.5857293
463,Artist In Residence,attraction,artist,maple ridge,..,23740,fern cres,..,maple ridge,bc,..,Maple Ridge,5915075,59,49.23767967,-122.5644971
479,Artists In the Boro,individual artists,artist,new westminster,..,920,ewen avenue,..,new-westminster,bc,c/o 920 ewen avenue,New Westminster,5915029,59,49.18572558,-122.9425957
487,Arts & Cultural Centre,..,art or cultural centre,port moody,..,2425,st-johns street,..,port moody,bc,2425 st johns street,Port Moody,5915043,59,49.27638531,-122.8571362
489,Arts Club Theatre - Granville Island Stage,theatre/performance,theatre/performance and concert hall,vancouver,..,1585,johnston st,V6H 3R9,vancouver,bc,1585 johnston st vancouver bc v6h 3r9,Vancouver,5915022,59,49.272124,-123.134362
490,Arts Club Theatre - Revue Stage,theatre/performance,theatre/performance and concert hall,vancouver,..,1601,johnston st,V6H 3R9,vancouver,bc,1601 johnston st vancouver bc v6h 3r9,Vancouver,5915022,59,49.272235,-123.13467
491,Arts Club Theatre - Stanley Industrial Alliance Stage,theatre/performance,theatre/performance and concert hall,vancouver,..,2750,granville st,V6H 3J3,vancouver,bc,2750 granville st vancouver bc v6h 3j3,Vancouver,5915022,59,49.261346,-123.1382118
506,Artspeak Gallery,museum/gallery,gallery,vancouver,..,233,carrall st,V6B 2J2,vancouver,bc,233 carrall st vancouver bc v6b 2j2,Vancouver,5915022,59,49.282941,-123.104299
507,Artstarts In Schools,museum/gallery,museum,vancouver,..,808,richards st,V6B 3A7,vancouver,bc,808 richards st vancouver bc v6b 3a7,Vancouver,5915022,59,49.2799985,-123.1179808
532,Astorino's Hall,theatre/performance,theatre/performance and concert hall,vancouver,..,1739,venables st,V5L 2H3,vancouver,bc,1739 venables st vancouver bc v5l 2h3,Vancouver,5915022,59,49.2769146,-123.0698555
565,Audain Gallery,museum/gallery,gallery,vancouver,..,149,hastings st w,V6B 1H4,vancouver,bc,149 w hastings st vancouver bc v6b 1h4,Vancouver,5915022,59,49.282395,-123.108715
594,Ayden Gallery,museum/gallery,gallery,vancouver,..,88,pender st w,V6B 6N9,vancouver,bc,88 w pender st vancouver bc v6b 6n9,Vancouver,5915022,59,49.2809655,-123.1071802
602,Back Gallery Project,museum/gallery,gallery,vancouver,..,602,hastings st e,V6A 1R1,vancouver,bc,602 e hastings st vancouver bc v6a 1r1,Vancouver,5915022,59,49.2811369,-123.0913998
607,Baf Studio,museum/gallery,museum,vancouver,..,108,broadway av e,V5T 1V9,vancouver,bc,108 e broadway av vancouver bc v5t 1v9,Vancouver,5915022,59,49.262669,-123.102505
669,Basic Inquiry,museum/gallery,museum,vancouver,..,1011,main st,V6A 4L4,vancouver,bc,1011 main st vancouver bc v6a 4l4,Vancouver,5915022,59,49.2758184,-123.1000334
688,Bau-Xi Gallery,museum/gallery,gallery,vancouver,..,3045,granville st,V6H 3J9,vancouver,bc,3045 granville st vancouver bc v6h 3j9,Vancouver,5915022,59,49.258496,-123.1391799
696,BC Farm Machinery & Agricultural Museum Association,museum to display agricultiural & historical artifacts,museum,township of langley,..,9131,king st,..,township of langley,bc,..,Langley,5915001,59,49.16829541,-122.57544
699,BC Golf House Society,sports museum/hall of fame,museum,canadian museums association,..,2545,blanca street,V6R 4N1,vancouver,bc,2545 blanca street vancouver british columbia v6r 4n1 canada,Greater Vancouver A,5915020,59,49.2643712,-123.2154904
