,Name,Rating,Reviews,Review_num
0,39 Service Battalion (12 Company) Richmond,5,"[{'author_name': 'li anthony', 'author_url': 'https://www.google.com/maps/contrib/114224765357021419741/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJx5LuGS763sAxeNmarabRLwYvb10mFyxDHk0DwX=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '2 years ago', 'text': 'Awsome place for door open', 'time': 1528460555}, {'author_name': 'Michael Morrison', 'author_url': 'https://www.google.com/maps/contrib/105974979334597456761/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GhHAL7p9Pqaqa3iN01CTVTo-USExgLaeh-UP9t5tg=s128-c0x00000000-cc-rp-mo-ba4', 'rating': 5, 'relative_time_description': '2 years ago', 'text': 'Canadian Army Reserve Service Battalion', 'time': 1533783433}, {'author_name': 'Evan Gillmore', 'author_url': 'https://www.google.com/maps/contrib/115532167128378190320/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GhBrmGGhsl9iRX4_ljdQj3RWxH_cF6s9XFTbsRBm_4=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '2 years ago', 'text': '', 'time': 1538416445}, {'author_name': 'Prabhnoor Singh', 'author_url': 'https://www.google.com/maps/contrib/110694800188004372752/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJwZkr32qsnf5jFnoRpmigHuD7kyXXTglof_gr1F=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '5 months ago', 'text': '', 'time': 1605765691}, {'author_name': 'Don Chow', 'author_url': 'https://www.google.com/maps/contrib/116075349662822459891/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GiHNPTIS6tamp3OX8Su-rGPi1ptM1NxAh3KgizZGw=s128-c0x00000000-cc-rp-mo-ba2', 'rating': 5, 'relative_time_description': 'in the last week', 'text': '', 'time': 1620341897}]",5
1,15th Field Artillery Regiment (RCA),5,"[{'author_name': 'Tony Tovat', 'author_url': 'https://www.google.com/maps/contrib/116065746950328688116/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJxKjLMV0ixG5Owum1qcKRHRS1LUFPV5pXV8_a-J=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '4 years ago', 'text': '', 'time': 1473829329}, {'author_name': 'Mark Magtibay', 'author_url': 'https://www.google.com/maps/contrib/116827131721855635933/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14Ggi2gAjh30uLlB81dixw1r-90vHZ4b8gSrCZ994Kg=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '3 years ago', 'text': '', 'time': 1518832451}, {'author_name': 'Jedediah Oakwynn-Dough', 'author_url': 'https://www.google.com/maps/contrib/110080896342687437208/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GikZeE6wkHL10i4IpgJT3D99l6O0pGGkEIHHYehbQ=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '3 years ago', 'text': '', 'time': 1505006679}, {'author_name': 'Matt Gul', 'author_url': 'https://www.google.com/maps/contrib/110884817821151326143/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14Gj3qncYKGASLuvvp78x3QnSTdCrNHzp3pV4HI7p6w=s128-c0x00000000-cc-rp-mo-ba6', 'rating': 5, 'relative_time_description': '2 years ago', 'text': '', 'time': 1544077775}]",4
2,ABC Preschool Academy,no data,0,0
3,Agassiz Library,5,"[{'author_name': 'Danelle Klaassen', 'author_url': 'https://www.google.com/maps/contrib/107699322015009121955/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GjEgAROG19NfW6awsYwLLamcsUfBz9UvyTVDTtp1Q=s128-c0x00000000-cc-rp-mo-ba2', 'rating': 5, 'relative_time_description': '3 weeks ago', 'text': 'Super friendly staff. Covid measures being taken seriously. Always clean.', 'time': 1618982115}, {'author_name': 'Phyllis Waddington', 'author_url': 'https://www.google.com/maps/contrib/100290624931794766115/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJygLw9cWTDKbthd0XgqPPc1A1w_0Jip9PwcWcFd=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': 'a year ago', 'text': 'Everyone at this branch has been friendly and helpful. They recall your name each visit, and offer suggestions, if asked.', 'time': 1579722879}, {'author_name': 'chad hedrick', 'author_url': 'https://www.google.com/maps/contrib/117730821150853770595/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GhY-KUsuUcPrEfOUfLBEYqcjQ-V2q3NXICBm94h=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': '2 years ago', 'text': 'love this place!!  free books and many other resources are simply amazing to me.  The staff are wonderful to boot', 'time': 1546110843}, {'author_name': 'Michelle Knowles', 'author_url': 'https://www.google.com/maps/contrib/101041478371304103724/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GhQBTHqHBdO9g58IT8dwBieB2X8qT32aQhucWjgWII=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': '3 years ago', 'text': ""A cool building in which people can go and relax while checking out books or surfing the 'net. If they need help, the people working here are friendly & ready & willing to assist."", 'time': 1525239287}, {'author_name': 'Melanie Nicholson', 'author_url': 'https://www.google.com/maps/contrib/113932467265844425954/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJwyi6EzOcpVxbytfJX6ZhCqde0q_LY6HFjbE58R=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '3 years ago', 'text': 'Love the web access friendly librarians', 'time': 1497662431}]",5
4,Ponderosa Commons East (Audain Art Centre and Spruce House),5,"[{'author_name': 'Amani Abid', 'author_url': 'https://www.google.com/maps/contrib/115151726147670155775/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJxLUAjuN6AVnLxE3eXsK__jh6vfNNIhrmaV-uNf=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 5, 'relative_time_description': '3 years ago', 'text': 'Clean , empty, quiet. Accessible. Great place to study and/or quietly hang out.', 'time': 1517721056}]",1
5,Aldergrove Festival Days,5,"[{'author_name': 'Peggy Easley', 'author_url': 'https://www.google.com/maps/contrib/105170362266449469190/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJztoRMwtmfkakhdHvaDs83nKLT_LlJGdhb8HFb5=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': 'a year ago', 'text': ""This was our first time going to this 3 day festival, it was an awesome time the bands that played on the main stage were great, beer gardens had a variety of drinks ran out near the end $5.00 for water,\nouch lol. Food trucks galore loved it. Loverboy ended the night everyone was standing and dancing. It was a great day. Can't wait till next year."", 'time': 1563898265}, {'author_name': 'Darrell Ellens', 'author_url': 'https://www.google.com/maps/contrib/106276765753553512500/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14Gj11PC2UiRYRSMPaOjqJAVIReWOtKgxdP6LTEOyeQ=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': 'a year ago', 'text': 'The fair has one of the best music Festivals in the Vancouver area. Trooper.  LOVERBOY.  Chilliwack.  54/40 plus some of the best TRIBUTE band around. The Cars. CCR. HEART. JANIS JOPLIN. EAGLES.', 'time': 1564178054}, {'author_name': 'Raya Jones', 'author_url': 'https://www.google.com/maps/contrib/109459255725161734866/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GjP7sY6g5Es3A-W_7Vk92TMwtWHBDd-JEvjmcHM=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': 'a year ago', 'text': '', 'time': 1583607041}, {'author_name': 'Cass V Branauer', 'author_url': 'https://www.google.com/maps/contrib/110325896814175087976/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14Gh4TFsEmIuW_Tl6z2Gi06nSrxvoEV8oeLvHLXai=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': 'a year ago', 'text': '', 'time': 1572676710}]",4
6,Aldergrove Library,4.9,"[{'author_name': 'Carol Bragg', 'author_url': 'https://www.google.com/maps/contrib/114873712852172559917/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJwLp0GxyvH_7YVaNV3W13-4zs47Fcm7BJYjTApH=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '2 weeks ago', 'text': 'All the library ladies are AWESOME! EXTREMELY HELPFUL AND VERY PLEASANT YOU ALWAYS FEEL WELCOME I LOVE THEM!!! I DEFINITLY GIVE THEM 5 STARS OF I COULD GIVE THEM A HIGHER RATE I WOULD', 'time': 1619294277}, {'author_name': 'Jo-Ann Cote', 'author_url': 'https://www.google.com/maps/contrib/116992413649694082996/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJydFgRAHVaq0EGRJmuZfjc733PS601zN_VwGcTD=s128-c0x00000000-cc-rp-mo-ba2', 'rating': 5, 'relative_time_description': '7 months ago', 'text': 'Great staff! nice facilities! Well laid out. Good parking too.', 'time': 1602131057}, {'author_name': 'Lorraine Roy', 'author_url': 'https://www.google.com/maps/contrib/105632960662186761645/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GgSja9RHEdErLtL01riG_QszrI1wFY6enGyi4VObw=s128-c0x00000000-cc-rp-mo-ba4', 'rating': 5, 'relative_time_description': '4 months ago', 'text': 'Very helpful staff.\nThank you', 'time': 1610486426}, {'author_name': 'Marsha Maddess', 'author_url': 'https://www.google.com/maps/contrib/116813931800448398586/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJwFZoHR7BgsPsaMn-p_6x-xleXntr59EEnLxYLd=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '7 months ago', 'text': 'Fantastic ! Talked with Joanne for a bit and she showed me some new reading material\nThat I like to read :) thanks Joanne', 'time': 1600820439}, {'author_name': 'KennerOp', 'author_url': 'https://www.google.com/maps/contrib/101545270324630008633/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GhkZZL03pua3zGLhW783_AhZNOKl6Z_NZ514WJF=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': 'a year ago', 'text': ""Loved the place back when I lived in Aldergrove and Langley. My parents used to bring me here to get books while I was 8 until I was 10 years old. It's been a decade and the place doesn't look like it's changed."", 'time': 1565324501}]",5
7,Alliance for Arts and Culture,4.8,"[{'author_name': 'Richard Rigby', 'author_url': 'https://www.google.com/maps/contrib/114220176688174612621/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14Gjb_p0IRPkkj2M8R_eJaBkrp6ik6Rj6RiVzmULuxQ=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 5, 'relative_time_description': '7 months ago', 'text': 'The Job board is great for discovering arts based careers.', 'time': 1601248830}, {'author_name': 'Anita', 'author_url': 'https://www.google.com/maps/contrib/101903202609219935114/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJyLPQygu1--OrMvQiGcw5XJcIVWW-Gb0QVcJBSL=s128-c0x00000000-cc-rp-mo-ba4', 'rating': 5, 'relative_time_description': '2 years ago', 'text': 'Great space for community events.', 'time': 1551764433}, {'author_name': 'Bill Thomson', 'author_url': 'https://www.google.com/maps/contrib/103649836782315579869/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GgCpaW37n9IdHhcji4HWtMo6BfHNo0AYs_CfRdEMA=s128-c0x00000000-cc-rp-mo-ba4', 'rating': 4, 'relative_time_description': '3 years ago', 'text': 'Great cultural resource centre for the arts community of Vancouver and beyond.', 'time': 1506022984}, {'author_name': 'Willem Toorenburgh', 'author_url': 'https://www.google.com/maps/contrib/116776341496564369637/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GjlziyrJ9t6O9yjVMCOqruO95jY5cy3_sbj0ajjS4I=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': '4 years ago', 'text': 'Alliance is a fantastic venue for events, with friendly staff to boot. The kitchen is available for storing food and drink, as well as getting water, which is a huge plus.', 'time': 1482435839}, {'author_name': 'James Paley', 'author_url': 'https://www.google.com/maps/contrib/102513444470264292860/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GjlOc8r1hlxTjIOxsm7pYAQrgYypR9dLtLFcZrOvA=s128-c0x00000000-cc-rp-mo-ba2', 'rating': 5, 'relative_time_description': '2 years ago', 'text': 'Venue was exactly what we needed.', 'time': 1544374983}]",5
8,Douglas College,3.9,"[{'author_name': 'Alexander Sanchez', 'author_url': 'https://www.google.com/maps/contrib/111889690987045688532/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJyBAgnewgEdWTLuQjryVAW5UuuHZg1dMMVXw3r9=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '8 months ago', 'text': 'Fantastic, attention', 'time': 1599684992}, {'author_name': 'Robert Cross', 'author_url': 'https://www.google.com/maps/contrib/108578331400547626689/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJxab0Z_yLsfKGTReuxXr8jH7ALcbY53FB-XqjPG=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': '2 months ago', 'text': ""Attended here 10 years ago. In addition to semesters at SFU & BCIT. Looking back,  courses I took here I recall significantly better than courses I took at SFU or BCIT. Can't explain why. Altogether my favourite times as a student were here."", 'time': 1615286245}, {'author_name': 'Mary Yang', 'author_url': 'https://www.google.com/maps/contrib/109572115485720166218/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GhhQ3OVyBQgaFZtYazg9fbQDW2eaAPAB_cjMvfY=s128-c0x00000000-cc-rp-mo', 'rating': 4, 'relative_time_description': 'a week ago', 'text': 'I took english course there before I transferred to SFU.  Important stepping stone.', 'time': 1620072951}, {'author_name': 'Seb Laufer', 'author_url': 'https://www.google.com/maps/contrib/117907937101427500995/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJxsyF0a5gDeW6uwJGTMUhCGVQLtsfn4xGFrMDnS=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 5, 'relative_time_description': '11 months ago', 'text': 'This really is a good College. I am a student here and find that for the most part there is a ton of help resources to help students get through their degrees. All of the security and custodial staff are friendly as well. I would suggest anyone take classes at Douglas if their desired degree is applicable.', 'time': 1590031511}, {'author_name': 'Nunya Biz', 'author_url': 'https://www.google.com/maps/contrib/101124255821962466624/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJwFFfx_JBQn3_jzPkuS2WdfracpnpmxohddRpYd=s128-c0x00000000-cc-rp-mo-ba2', 'rating': 1, 'relative_time_description': 'a month ago', 'text': 'I emailed them twice inquiring about classes and they spelled my first name wrong each time. I emailed back the second time just to see if it was a typo. Nope, and my name is even a part of my email address. Go somewhere they bother to spell your name correctly.', 'time': 1617351873}]",5
9,New Westminster Museum,4.3,"[{'author_name': ""Michelle O'Neil"", 'author_url': 'https://www.google.com/maps/contrib/117714387346608189238/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJx9-eO7tPcA0nz4GIOPRICz71T9YVZwCudrd3p9=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 1, 'relative_time_description': '7 months ago', 'text': ""Can't even get to the place because of draconian measures being taken. I was going to go and take other people. Now I won't even try. Masks cannot be mandated. A museum should know that human rights cannot be infringed upon in this country."", 'time': 1601007537}, {'author_name': 'Bhoumik Shah', 'author_url': 'https://www.google.com/maps/contrib/106684214226820590955/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJwgVN6qSTLugRUWquoGclU2fJMtqPhK0J6cSHE=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '6 months ago', 'text': 'Pleasant ambience and great ancient preserved things to see. Great place to visit', 'time': 1603996148}, {'author_name': 'Ray K', 'author_url': 'https://www.google.com/maps/contrib/116861933219371393424/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GjzxM1ib0br439jgWbEORp0Kkk2BRr9qR5nzVxN2A=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': 'a year ago', 'text': 'A small museum, but nonetheless very interesting!! Entry by donation. I was the only person in the museum, so it was nice and quiet. I finished in 1 hour and I read everything. A perfect rainy afternoon activity!', 'time': 1578257816}, {'author_name': 'Reiner Esser', 'author_url': 'https://www.google.com/maps/contrib/102201591806069531989/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AOh14GiRJZzPDPv6R0OmZRan0Xz2vrml1kaLICnDbXN4AA=s128-c0x00000000-cc-rp-mo', 'rating': 1, 'relative_time_description': '6 months ago', 'text': ""Don't bother going there. I made a reservation, got a confirmation, paid $5 for parking and discovered that there was no way to get into the building. Everything was locked. Scam!"", 'time': 1602724528}, {'author_name': 'Bruno Bonatto', 'author_url': 'https://www.google.com/maps/contrib/103193661560347689361/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AATXAJzkF-cQa_kYpYXrZhscH5HLks04PSN_CuiEfbs=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': 'a year ago', 'text': 'Very cool little place to go visit and learn about the city. Lots of old artifacts and very detailed descriptions for them.', 'time': 1582147022}]",5
