,poi_name,names,pid
0,12 Service Battalion Museum,12 Service Battalion Museum,ChIJhwQHwzh1hlQRJdE3ZdQPI9I
1,15th Field Artillery Regiment Museum And Archives,15th Field Artillery Regiment Museum And Archives,ChIJpdEUnLBzhlQR0ome6cv5el8
2,221A Artist Run Centre,can not find,0
3,7302754 Canada Inc,can not find,0
4,Abc Heritage Preschool And Child Care,Abc Heritage Preschool And Child Care,ChIJF3ZMao7RhVQRYMRn09PBo34
5,Adamsons Heritage Nursery Ltd,Adamsons Heritage Nursery Ltd,ChIJQfsQ7fOLfVMRcUmdvbgiS-Y
6,Agassiz Library,Agassiz Library,ChIJNaGyI2sThFQRQ33H2ji42y4
7,Ahva Gallery,Ahva Gallery,ChIJaUbtlrVyhlQREWwxkqr-Y9A
8,Aldergrove Festival Days Society,Aldergrove Festival Days Society,ChIJ_2qFN77LhVQRnDAtPFnP5GI
9,Aldergrove Library,Aldergrove Library,ChIJnUQ_GcLLhVQR45Ya8rbkqjs
10,Alliance For Arts And Culture,Alliance For Arts And Culture,ChIJ5WClfNVzhlQR18C_tp4-Ny0
11,Amelia Douglas Gallery,Amelia Douglas Gallery,ChIJyU3u9XHYhVQRPy86XwYQp_M
12,Angie Au Hemphill Studio,can not find,0
13,Anvil Centre/Museum And Archives,Anvil Centre/Museum And Archives,ChIJVWdV0gzYhVQRObpum5rNjd0
14,Anza Club (Australia-New Zealand Association),Anza Club (Australia-New Zealand Association),ChIJfbmDXuBzhlQRBgWCKERYmME
15,Architectural Institute of BC Gallery,Architectural Institute of BC Gallery,ChIJkUVKKXhxhlQRLvKX6Ir1X8w
16,Archives of Anglican Provincial Synod of British Columbia And Diocese of New Westminster,Archives of Anglican Provincial Synod of British Columbia And Diocese of New Westminster,ChIJJW_2ZI50j1QR2bAlyZ-B9-Q
17,Art Beatus,Art Beatus,ChIJI6T7EtVzhlQRkZ-X3oqE714
18,Art Club/Bard On Beach Production Centre Theatre,Art Club/Bard On Beach Production Centre Theatre,ChIJZ94eAGJxhlQRk8117dtiqow
19,Art Emporium,Art Emporium,ChIJq1etJL9zhlQRyQVGHdYMuGg
20,Art Works Gallery,Art Works Gallery,ChIJX2rajmXtfVMR4izo8BW6l7U
21,Arteclectica Gallery,Arteclectica Gallery,ChIJywNQ7UJxhlQR_nV7WeI51TY
22,Artist In Residence,Artist In Residence,ChIJM-Vqau_YfVMRiUzcKvU6fO4
23,Artists In the Boro,Artists In the Boro,ChIJ-8jff44KlVQRc90g8HTsV_A
24,Arts & Cultural Centre,Arts & Cultural Centre,ChIJxfYIp1jzfVMROE9rb_Ceasg
25,Arts Club Theatre - Granville Island Stage,Arts Club Theatre - Granville Island Stage,ChIJj6Jmb85zhlQRbdUEOydci3o
26,Arts Club Theatre - Revue Stage,Arts Club Theatre - Revue Stage,ChIJj6Jmb85zhlQRbdUEOydci3o
27,Arts Club Theatre - Stanley Industrial Alliance Stage,Arts Club Theatre - Stanley Industrial Alliance Stage,ChIJOUzupLhzhlQRIOQ9G20eido
28,Artspeak Gallery,Artspeak Gallery,ChIJ16ZETXdxhlQRT7OGxnNnn1Y
29,Artstarts In Schools,Artstarts In Schools,ChIJjW7NaX5xhlQRHwpvPmkoDf8
30,Astorino's Hall,Astorino's Hall,ChIJ2bl0Hz5xhlQRlDKnsxOcHNs
