,Player,Season,Stage,Points_type,Points_per_game
0,Shaquille O'Neal,1999,Regular_Season,Free throws,5.47
1,Vince Carter,1999,Regular_Season,Free throws,5.32
2,Karl Malone,1999,Regular_Season,Free throws,7.18
3,Allen Iverson,1999,Regular_Season,Free throws,6.31
4,Gary Payton,1999,Regular_Season,Free throws,3.79
5,Jerry Stackhouse,1999,Regular_Season,Free throws,7.54
6,Grant Hill,1999,Regular_Season,Free throws,6.49
7,Kevin Garnett,1999,Regular_Season,Free throws,3.81
8,Michael Finley,1999,Regular_Season,Free throws,3.17
9,Chris Webber,1999,Regular_Season,Free throws,4.15
10,Ray Allen,1999,Regular_Season,Free throws,4.3
11,Alonzo Mourning,1999,Regular_Season,Free throws,5.24
12,Tim Duncan,1999,Regular_Season,Free throws,6.2
13,Glenn Robinson,1999,Regular_Season,Free throws,2.8
14,Antoine Walker,1999,Regular_Season,Free throws,3.79
15,Shareef Abdur-Rahim,1999,Regular_Season,Free throws,5.44
16,Stephon Marbury,1999,Regular_Season,Free throws,5.89
17,Elton Brand,1999,Regular_Season,Free throws,4.53
18,Allan Houston,1999,Regular_Season,Free throws,3.41
19,Antonio McDyess,1999,Regular_Season,Free throws,3.99
20,Keith Van Horn,1999,Regular_Season,Free throws,4.16
21,Latrell Sprewell,1999,Regular_Season,Free throws,4.2
22,Sam Cassell,1999,Regular_Season,Free throws,4.81
23,Michael Dickerson,1999,Regular_Season,Free throws,3.28
24,Kobe Bryant,1999,Regular_Season,Free throws,5.02
25,Cliff Robinson,1999,Regular_Season,Free throws,3.72
26,Reggie Miller,1999,Regular_Season,Free throws,4.6
27,Shawn Kemp,1999,Regular_Season,Free throws,6.01
28,Jalen Rose,1999,Regular_Season,Free throws,3.18
29,Eddie Jones,1999,Regular_Season,Free throws,5.03
30,Dirk Nowitzki,1999,Regular_Season,Free throws,3.52
31,David Robinson,1999,Regular_Season,Free throws,4.64
32,Paul Pierce,1999,Regular_Season,Free throws,4.92
33,Steve Francis,1999,Regular_Season,Free throws,3.73
34,Darrell Armstrong,1999,Regular_Season,Free throws,2.74
35,Jamal Mashburn,1999,Regular_Season,Free throws,2.45
36,Rasheed Wallace,1999,Regular_Season,Free throws,2.88
37,Jim Jackson,1999,Regular_Season,Free throws,2.35
38,Vin Baker,1999,Regular_Season,Free throws,3.56
39,Mitch Richmond,1999,Regular_Season,Free throws,4.03
40,Cuttino Mobley,1999,Regular_Season,Free throws,3.69
41,Nick Van Exel,1999,Regular_Season,Free throws,2.48
42,Glen Rice,1999,Regular_Season,Free throws,4.32
43,Lamar Odom,1999,Regular_Season,Free throws,3.97
44,Derrick Coleman,1999,Regular_Season,Free throws,4.0
45,Larry Hughes,1999,Regular_Season,Free throws,3.4
46,Steve Smith,1999,Regular_Season,Free throws,3.52
47,Juwan Howard,1999,Regular_Season,Free throws,2.46
48,Tracy McGrady,1999,Regular_Season,Free throws,3.51
