,Player,Season,Stage,2PT_3PT_eFG,per_game
0,A.C. Green,1999,Playoffs,2PT_%,41.11
1,A.C. Green,1999,Regular_Season,2PT_%,44.91
2,A.C. Green,2000,Regular_Season,2PT_%,45.28
3,A.J. Price,2010,Playoffs,2PT_%,31.58
4,Aaron Brooks,2008,Playoffs,2PT_%,47.17
5,Aaron Brooks,2008,Regular_Season,2PT_%,42.83
6,Aaron Brooks,2009,Regular_Season,2PT_%,45.41
7,Aaron Brooks,2012,Playoffs,2PT_%,48.0
8,Aaron Brooks,2013,Regular_Season,2PT_%,41.14
9,Aaron Brooks,2014,Playoffs,2PT_%,37.14
10,Aaron Brooks,2014,Regular_Season,2PT_%,44.25
11,Aaron Brooks,2016,Regular_Season,2PT_%,42.44
12,Aaron Gordon,2015,Regular_Season,2PT_%,53.09
13,Aaron Gordon,2016,Regular_Season,2PT_%,52.84
14,Aaron Gordon,2017,Regular_Season,2PT_%,49.71
15,Aaron Gordon,2018,Playoffs,2PT_%,50.0
16,Aaron Gordon,2018,Regular_Season,2PT_%,49.93
17,Aaron Gordon,2019,Regular_Season,2PT_%,49.43
18,Aaron Gray,2010,Playoffs,2PT_%,69.23
19,Aaron Holiday,2019,Playoffs,2PT_%,66.67
20,Aaron Holiday,2019,Regular_Season,2PT_%,42.69
21,Aaron McKie,1999,Playoffs,2PT_%,55.88
22,Aaron McKie,1999,Regular_Season,2PT_%,42.37
23,Aaron McKie,2000,Playoffs,2PT_%,41.35
24,Aaron McKie,2000,Regular_Season,2PT_%,52.39
25,Aaron McKie,2001,Playoffs,2PT_%,46.67
26,Aaron McKie,2002,Playoffs,2PT_%,53.23
27,Aaron McKie,2002,Regular_Season,2PT_%,44.95
28,Aaron McKie,2003,Regular_Season,2PT_%,46.91
29,Aaron McKie,2004,Playoffs,2PT_%,50.0
30,Aaron McKie,2004,Regular_Season,2PT_%,51.25
31,Aaron Williams,1999,Regular_Season,2PT_%,52.57
32,Aaron Williams,2000,Regular_Season,2PT_%,45.83
33,Aaron Williams,2001,Playoffs,2PT_%,48.42
34,Aaron Williams,2001,Regular_Season,2PT_%,52.86
35,Aaron Williams,2002,Playoffs,2PT_%,47.17
36,Aaron Williams,2002,Regular_Season,2PT_%,45.43
37,Aaron Williams,2003,Playoffs,2PT_%,54.55
38,Aaron Williams,2003,Regular_Season,2PT_%,50.44
39,Abdel Nader,2017,Regular_Season,2PT_%,32.14
40,Abdel Nader,2018,Regular_Season,2PT_%,51.3
41,Abdel Nader,2019,Regular_Season,2PT_%,55.56
42,Acie Law,2007,Playoffs,2PT_%,75.0
43,Adam Morrison,2006,Regular_Season,2PT_%,39.07
44,Adonal Foyle,1999,Regular_Season,2PT_%,50.79
45,Adonal Foyle,2001,Regular_Season,2PT_%,44.42
46,Adonal Foyle,2002,Regular_Season,2PT_%,53.78
47,Adonal Foyle,2004,Regular_Season,2PT_%,50.16
48,Adonal Foyle,2005,Regular_Season,2PT_%,50.67
49,Adonal Foyle,2007,Regular_Season,2PT_%,45.75
50,Adrian Griffin,1999,Regular_Season,2PT_%,44.66
51,Adrian Griffin,2002,Playoffs,2PT_%,42.11
52,Adrian Griffin,2002,Regular_Season,2PT_%,44.73
53,Adrian Griffin,2004,Playoffs,2PT_%,51.72
54,Adrian Griffin,2004,Regular_Season,2PT_%,36.84
55,Adrian Griffin,2005,Playoffs,2PT_%,54.24
56,Adrian Griffin,2005,Regular_Season,2PT_%,48.51
57,Al Harrington,2000,Regular_Season,2PT_%,44.78
58,Al Harrington,2002,Playoffs,2PT_%,24.14
59,Al Harrington,2002,Regular_Season,2PT_%,44.24
60,Al Harrington,2003,Playoffs,2PT_%,42.96
61,Al Harrington,2003,Regular_Season,2PT_%,48.08
62,Al Harrington,2005,Regular_Season,2PT_%,47.13
63,Al Harrington,2006,Playoffs,2PT_%,40.0
64,Al Harrington,2006,Regular_Season,2PT_%,46.58
65,Al Harrington,2007,Regular_Season,2PT_%,48.16
66,Al Harrington,2008,Regular_Season,2PT_%,48.65
67,Al Harrington,2009,Regular_Season,2PT_%,49.6
68,Al Harrington,2010,Playoffs,2PT_%,41.67
69,Al Harrington,2010,Regular_Season,2PT_%,47.26
70,Al Harrington,2011,Playoffs,2PT_%,35.0
71,Al Harrington,2011,Regular_Season,2PT_%,51.91
72,Al Horford,2007,Playoffs,2PT_%,47.22
73,Al Horford,2007,Regular_Season,2PT_%,50.23
74,Al Horford,2008,Playoffs,2PT_%,43.1
75,Al Horford,2008,Regular_Season,2PT_%,52.61
76,Al Horford,2009,Playoffs,2PT_%,51.97
