,Player,Season,Stage,True shooting percentage
0,Shaquille O'Neal,1999,Regular_Season,57.8
1,Vince Carter,1999,Regular_Season,54.35
2,Karl Malone,1999,Regular_Season,58.16
3,Allen Iverson,1999,Regular_Season,49.58
4,Gary Payton,1999,Regular_Season,53.51
5,Jerry Stackhouse,1999,Regular_Season,54.45
6,Grant Hill,1999,Regular_Season,56.47
7,Kevin Garnett,1999,Regular_Season,54.5
8,Michael Finley,1999,Regular_Season,52.24
9,Chris Webber,1999,Regular_Season,53.0
10,Ray Allen,1999,Regular_Season,57.03
11,Alonzo Mourning,1999,Regular_Season,59.65
12,Tim Duncan,1999,Regular_Season,55.49
13,Glenn Robinson,1999,Regular_Season,53.39
14,Antoine Walker,1999,Regular_Season,49.36
15,Shareef Abdur-Rahim,1999,Regular_Season,54.72
16,Stephon Marbury,1999,Regular_Season,52.81
17,Elton Brand,1999,Regular_Season,52.76
18,Allan Houston,1999,Regular_Season,56.91
19,Antonio McDyess,1999,Regular_Season,53.93
20,Keith Van Horn,1999,Regular_Season,53.67
21,Latrell Sprewell,1999,Regular_Season,51.5
22,Sam Cassell,1999,Regular_Season,55.13
23,Michael Dickerson,1999,Regular_Season,52.95
24,Kobe Bryant,1999,Regular_Season,54.58
25,Cliff Robinson,1999,Regular_Season,56.43
26,Reggie Miller,1999,Regular_Season,60.26
27,Shawn Kemp,1999,Regular_Season,50.82
28,Jalen Rose,1999,Regular_Season,54.73
29,Eddie Jones,1999,Regular_Season,55.47
30,Dirk Nowitzki,1999,Regular_Season,56.45
31,David Robinson,1999,Regular_Season,56.81
32,Paul Pierce,1999,Regular_Season,55.01
33,Steve Francis,1999,Regular_Season,54.32
34,Darrell Armstrong,1999,Regular_Season,54.17
35,Jamal Mashburn,1999,Regular_Season,52.57
36,Rasheed Wallace,1999,Regular_Season,55.64
37,Jim Jackson,1999,Regular_Season,49.58
38,Vin Baker,1999,Regular_Season,50.03
39,Mitch Richmond,1999,Regular_Season,53.6
40,Cuttino Mobley,1999,Regular_Season,54.51
41,Nick Van Exel,1999,Regular_Season,48.35
42,Glen Rice,1999,Regular_Season,55.1
43,Lamar Odom,1999,Regular_Season,52.08
44,Derrick Coleman,1999,Regular_Season,54.11
45,Larry Hughes,1999,Regular_Season,46.69
46,Steve Smith,1999,Regular_Season,58.36
47,Juwan Howard,1999,Regular_Season,49.63
48,Tracy McGrady,1999,Regular_Season,50.95
49,Terrell Brandon,1999,Regular_Season,53.46
50,Mike Bibby,1999,Regular_Season,52.15
51,Lamond Murray,1999,Regular_Season,51.67
52,Bryon Russell,1999,Regular_Season,55.03
53,Kenny Anderson,1999,Regular_Season,52.35
54,Rodney Rogers,1999,Regular_Season,57.04
55,David Wesley,1999,Regular_Season,51.86
56,Alan Henderson,1999,Regular_Season,50.28
57,Othella Harrington,1999,Regular_Season,55.98
58,Lindsey Hunter,1999,Regular_Season,54.34
59,Scottie Pippen,1999,Regular_Season,53.33
60,Rik Smits,1999,Regular_Season,51.79
61,Chris Gatling,1999,Regular_Season,52.48
62,Shandon Anderson,1999,Regular_Season,56.73
63,Bob Sura,1999,Regular_Season,54.51
64,Raef LaFrentz,1999,Regular_Season,51.18
65,Vlade Divac,1999,Regular_Season,55.19
66,Christian Laettner,1999,Regular_Season,53.9
