,Player,Season,Stage,Assists_per_game
0,Shaquille O'Neal,1999,Regular_Season,3.78
1,Vince Carter,1999,Regular_Season,3.93
2,Karl Malone,1999,Regular_Season,3.71
3,Allen Iverson,1999,Regular_Season,4.69
4,Gary Payton,1999,Regular_Season,8.93
5,Jerry Stackhouse,1999,Regular_Season,4.45
6,Grant Hill,1999,Regular_Season,5.2
7,Kevin Garnett,1999,Regular_Season,4.95
8,Michael Finley,1999,Regular_Season,5.34
9,Chris Webber,1999,Regular_Season,4.6
10,Ray Allen,1999,Regular_Season,3.76
11,Alonzo Mourning,1999,Regular_Season,1.56
12,Tim Duncan,1999,Regular_Season,3.16
13,Glenn Robinson,1999,Regular_Season,2.38
14,Antoine Walker,1999,Regular_Season,3.72
15,Shareef Abdur-Rahim,1999,Regular_Season,3.3
16,Stephon Marbury,1999,Regular_Season,8.41
17,Elton Brand,1999,Regular_Season,1.91
18,Allan Houston,1999,Regular_Season,2.73
19,Antonio McDyess,1999,Regular_Season,1.96
20,Keith Van Horn,1999,Regular_Season,1.98
21,Latrell Sprewell,1999,Regular_Season,4.05
22,Sam Cassell,1999,Regular_Season,9.0
23,Michael Dickerson,1999,Regular_Season,2.54
24,Kobe Bryant,1999,Regular_Season,4.89
25,Cliff Robinson,1999,Regular_Season,2.8
26,Reggie Miller,1999,Regular_Season,2.31
27,Shawn Kemp,1999,Regular_Season,1.68
28,Jalen Rose,1999,Regular_Season,4.0
29,Eddie Jones,1999,Regular_Season,4.24
30,Dirk Nowitzki,1999,Regular_Season,2.48
31,David Robinson,1999,Regular_Season,1.78
32,Paul Pierce,1999,Regular_Season,3.03
33,Steve Francis,1999,Regular_Season,6.58
34,Darrell Armstrong,1999,Regular_Season,6.11
35,Jamal Mashburn,1999,Regular_Season,3.92
36,Rasheed Wallace,1999,Regular_Season,1.75
37,Jim Jackson,1999,Regular_Season,2.91
38,Vin Baker,1999,Regular_Season,1.87
39,Mitch Richmond,1999,Regular_Season,2.5
40,Cuttino Mobley,1999,Regular_Season,2.57
41,Nick Van Exel,1999,Regular_Season,9.04
42,Glen Rice,1999,Regular_Season,2.2
43,Lamar Odom,1999,Regular_Season,4.17
44,Derrick Coleman,1999,Regular_Season,2.36
45,Larry Hughes,1999,Regular_Season,2.5
46,Steve Smith,1999,Regular_Season,2.55
47,Juwan Howard,1999,Regular_Season,3.01
48,Tracy McGrady,1999,Regular_Season,3.33
49,Terrell Brandon,1999,Regular_Season,8.86
50,Mike Bibby,1999,Regular_Season,8.11
51,Lamond Murray,1999,Regular_Season,1.78
52,Bryon Russell,1999,Regular_Season,1.93
53,Kenny Anderson,1999,Regular_Season,5.12
54,Rodney Rogers,1999,Regular_Season,2.07
55,David Wesley,1999,Regular_Season,5.65
56,Alan Henderson,1999,Regular_Season,0.94
57,Othella Harrington,1999,Regular_Season,1.18
58,Lindsey Hunter,1999,Regular_Season,3.99
59,Scottie Pippen,1999,Regular_Season,4.95
60,Rik Smits,1999,Regular_Season,1.08
61,Chris Gatling,1999,Regular_Season,0.84
62,Shandon Anderson,1999,Regular_Season,2.91
63,Bob Sura,1999,Regular_Season,3.89
64,Raef LaFrentz,1999,Regular_Season,1.2
65,Vlade Divac,1999,Regular_Season,2.98
66,Christian Laettner,1999,Regular_Season,2.27
67,Jason Williams,1999,Regular_Season,7.27
68,Kendall Gill,1999,Regular_Season,2.76
