,Player,Season,Stage,Rebound_type,Rebounds_per_game
0,Shaquille O'Neal,1999,Regular_Season,Offensive Rebounds,4.25
1,Vince Carter,1999,Regular_Season,Offensive Rebounds,1.83
2,Karl Malone,1999,Regular_Season,Offensive Rebounds,2.06
3,Allen Iverson,1999,Regular_Season,Offensive Rebounds,1.01
4,Gary Payton,1999,Regular_Season,Offensive Rebounds,1.22
5,Jerry Stackhouse,1999,Regular_Season,Offensive Rebounds,1.44
6,Grant Hill,1999,Regular_Season,Offensive Rebounds,1.31
7,Kevin Garnett,1999,Regular_Season,Offensive Rebounds,2.75
8,Michael Finley,1999,Regular_Season,Offensive Rebounds,1.49
9,Chris Webber,1999,Regular_Season,Offensive Rebounds,2.52
10,Ray Allen,1999,Regular_Season,Offensive Rebounds,1.01
11,Alonzo Mourning,1999,Regular_Season,Offensive Rebounds,2.72
12,Tim Duncan,1999,Regular_Season,Offensive Rebounds,3.54
13,Glenn Robinson,1999,Regular_Season,Offensive Rebounds,1.32
14,Antoine Walker,1999,Regular_Season,Offensive Rebounds,2.43
15,Shareef Abdur-Rahim,1999,Regular_Season,Offensive Rebounds,2.66
16,Stephon Marbury,1999,Regular_Season,Offensive Rebounds,0.82
17,Elton Brand,1999,Regular_Season,Offensive Rebounds,4.3
18,Allan Houston,1999,Regular_Season,Offensive Rebounds,0.46
19,Antonio McDyess,1999,Regular_Season,Offensive Rebounds,2.89
20,Keith Van Horn,1999,Regular_Season,Offensive Rebounds,2.5
21,Latrell Sprewell,1999,Regular_Season,Offensive Rebounds,0.6
22,Sam Cassell,1999,Regular_Season,Offensive Rebounds,0.85
23,Michael Dickerson,1999,Regular_Season,Offensive Rebounds,0.95
24,Kobe Bryant,1999,Regular_Season,Offensive Rebounds,1.64
25,Cliff Robinson,1999,Regular_Season,Offensive Rebounds,1.31
26,Reggie Miller,1999,Regular_Season,Offensive Rebounds,0.62
27,Shawn Kemp,1999,Regular_Season,Offensive Rebounds,2.82
28,Jalen Rose,1999,Regular_Season,Offensive Rebounds,0.52
29,Eddie Jones,1999,Regular_Season,Offensive Rebounds,1.12
30,Dirk Nowitzki,1999,Regular_Season,Offensive Rebounds,1.24
31,David Robinson,1999,Regular_Season,Offensive Rebounds,2.41
32,Paul Pierce,1999,Regular_Season,Offensive Rebounds,1.14
33,Steve Francis,1999,Regular_Season,Offensive Rebounds,1.97
34,Darrell Armstrong,1999,Regular_Season,Offensive Rebounds,0.79
35,Jamal Mashburn,1999,Regular_Season,Offensive Rebounds,0.84
36,Rasheed Wallace,1999,Regular_Season,Offensive Rebounds,1.59
37,Jim Jackson,1999,Regular_Season,Offensive Rebounds,1.28
38,Vin Baker,1999,Regular_Season,Offensive Rebounds,2.87
39,Mitch Richmond,1999,Regular_Season,Offensive Rebounds,0.5
40,Cuttino Mobley,1999,Regular_Season,Offensive Rebounds,0.73
41,Nick Van Exel,1999,Regular_Season,Offensive Rebounds,0.43
42,Glen Rice,1999,Regular_Season,Offensive Rebounds,0.7
43,Lamar Odom,1999,Regular_Season,Offensive Rebounds,2.09
44,Derrick Coleman,1999,Regular_Season,Offensive Rebounds,1.68
45,Larry Hughes,1999,Regular_Season,Offensive Rebounds,1.38
46,Steve Smith,1999,Regular_Season,Offensive Rebounds,1.5
47,Juwan Howard,1999,Regular_Season,Offensive Rebounds,1.61
48,Tracy McGrady,1999,Regular_Season,Offensive Rebounds,2.38
49,Terrell Brandon,1999,Regular_Season,Offensive Rebounds,0.62
50,Mike Bibby,1999,Regular_Season,Offensive Rebounds,0.89
51,Lamond Murray,1999,Regular_Season,Offensive Rebounds,1.72
52,Bryon Russell,1999,Regular_Season,Offensive Rebounds,1.21
53,Kenny Anderson,1999,Regular_Season,Offensive Rebounds,0.67
54,Rodney Rogers,1999,Regular_Season,Offensive Rebounds,1.68
55,David Wesley,1999,Regular_Season,Offensive Rebounds,0.48
56,Alan Henderson,1999,Regular_Season,Offensive Rebounds,3.23
57,Othella Harrington,1999,Regular_Season,Offensive Rebounds,2.39
58,Lindsey Hunter,1999,Regular_Season,Offensive Rebounds,0.43
59,Scottie Pippen,1999,Regular_Season,Offensive Rebounds,1.39
60,Rik Smits,1999,Regular_Season,Offensive Rebounds,1.19
61,Chris Gatling,1999,Regular_Season,Offensive Rebounds,1.81
62,Shandon Anderson,1999,Regular_Season,Offensive Rebounds,1.11
63,Bob Sura,1999,Regular_Season,Offensive Rebounds,0.68
64,Raef LaFrentz,1999,Regular_Season,Offensive Rebounds,2.1
65,Vlade Divac,1999,Regular_Season,Offensive Rebounds,2.12
66,Christian Laettner,1999,Regular_Season,Offensive Rebounds,2.13
67,Jason Williams,1999,Regular_Season,Offensive Rebounds,0.27
68,Kendall Gill,1999,Regular_Season,Offensive Rebounds,1.08
69,John Stockton,1999,Regular_Season,Offensive Rebounds,0.55
70,Elden Campbell,1999,Regular_Season,Offensive Rebounds,2.15
71,Damon Stoudamire,1999,Regular_Season,Offensive Rebounds,0.78
72,Tyrone Nesby,1999,Regular_Season,Offensive Rebounds,1.12
73,Jason Kidd,1999,Regular_Season,Offensive Rebounds,1.43
74,Jeff Hornacek,1999,Regular_Season,Offensive Rebounds,0.64
75,Anthony Mason,1999,Regular_Season,Offensive Rebounds,1.77
76,Brent Barry,1999,Regular_Season,Offensive Rebounds,0.62
77,Tim Thomas,1999,Regular_Season,Offensive Rebounds,1.25
78,Dikembe Mutombo,1999,Regular_Season,Offensive Rebounds,3.71
79,Ruben Patterson,1999,Regular_Season,Offensive Rebounds,2.69
80,Patrick Ewing,1999,Regular_Season,Offensive Rebounds,2.26
81,Malik Sealy,1999,Regular_Season,Offensive Rebounds,1.45
82,Avery Johnson,1999,Regular_Season,Offensive Rebounds,0.4
83,Andre Miller,1999,Regular_Season,Offensive Rebounds,1.04
84,Antonio Davis,1999,Regular_Season,Offensive Rebounds,2.97
85,Doug Christie,1999,Regular_Season,Offensive Rebounds,0.86
86,Peja Stojakovic,1999,Regular_Season,Offensive Rebounds,1.0
87,Metta World Peace,1999,Regular_Season,Offensive Rebounds,0.86
88,Jason Caffey,1999,Regular_Season,Offensive Rebounds,2.66
89,Wally Szczerbiak,1999,Regular_Season,Offensive Rebounds,1.22
90,John Amaechi,1999,Regular_Season,Offensive Rebounds,0.78
91,Austin Croshere,1999,Regular_Season,Offensive Rebounds,1.67
