,Player,Season,Stage,Blocks/Steals,per_game
0,Shaquille O'Neal,1999,Regular_Season,Blocks,3.03
1,Vince Carter,1999,Regular_Season,Blocks,1.12
2,Karl Malone,1999,Regular_Season,Blocks,0.87
3,Allen Iverson,1999,Regular_Season,Blocks,0.07
4,Gary Payton,1999,Regular_Season,Blocks,0.22
5,Jerry Stackhouse,1999,Regular_Season,Blocks,0.44
6,Grant Hill,1999,Regular_Season,Blocks,0.58
7,Kevin Garnett,1999,Regular_Season,Blocks,1.56
8,Michael Finley,1999,Regular_Season,Blocks,0.39
9,Chris Webber,1999,Regular_Season,Blocks,1.71
10,Ray Allen,1999,Regular_Season,Blocks,0.23
11,Alonzo Mourning,1999,Regular_Season,Blocks,3.72
12,Tim Duncan,1999,Regular_Season,Blocks,2.23
13,Glenn Robinson,1999,Regular_Season,Blocks,0.51
14,Antoine Walker,1999,Regular_Season,Blocks,0.39
15,Shareef Abdur-Rahim,1999,Regular_Season,Blocks,1.06
16,Stephon Marbury,1999,Regular_Season,Blocks,0.2
17,Elton Brand,1999,Regular_Season,Blocks,1.63
18,Allan Houston,1999,Regular_Season,Blocks,0.17
19,Antonio McDyess,1999,Regular_Season,Blocks,1.72
20,Keith Van Horn,1999,Regular_Season,Blocks,0.75
21,Latrell Sprewell,1999,Regular_Season,Blocks,0.27
22,Sam Cassell,1999,Regular_Season,Blocks,0.1
23,Michael Dickerson,1999,Regular_Season,Blocks,0.55
24,Kobe Bryant,1999,Regular_Season,Blocks,0.94
25,Cliff Robinson,1999,Regular_Season,Blocks,0.76
26,Reggie Miller,1999,Regular_Season,Blocks,0.31
27,Shawn Kemp,1999,Regular_Season,Blocks,1.17
28,Jalen Rose,1999,Regular_Season,Blocks,0.61
29,Eddie Jones,1999,Regular_Season,Blocks,0.68
30,Dirk Nowitzki,1999,Regular_Season,Blocks,0.83
31,David Robinson,1999,Regular_Season,Blocks,2.29
32,Paul Pierce,1999,Regular_Season,Blocks,0.85
33,Steve Francis,1999,Regular_Season,Blocks,0.38
34,Darrell Armstrong,1999,Regular_Season,Blocks,0.11
35,Jamal Mashburn,1999,Regular_Season,Blocks,0.18
36,Rasheed Wallace,1999,Regular_Season,Blocks,1.32
37,Jim Jackson,1999,Regular_Season,Blocks,0.13
38,Vin Baker,1999,Regular_Season,Blocks,0.84
39,Mitch Richmond,1999,Regular_Season,Blocks,0.18
40,Cuttino Mobley,1999,Regular_Season,Blocks,0.4
41,Nick Van Exel,1999,Regular_Season,Blocks,0.14
42,Glen Rice,1999,Regular_Season,Blocks,0.15
43,Lamar Odom,1999,Regular_Season,Blocks,1.25
44,Derrick Coleman,1999,Regular_Season,Blocks,1.76
45,Larry Hughes,1999,Regular_Season,Blocks,0.34
46,Steve Smith,1999,Regular_Season,Blocks,0.38
47,Juwan Howard,1999,Regular_Season,Blocks,0.26
48,Tracy McGrady,1999,Regular_Season,Blocks,1.91
49,Terrell Brandon,1999,Regular_Season,Blocks,0.42
50,Mike Bibby,1999,Regular_Season,Blocks,0.18
51,Lamond Murray,1999,Regular_Season,Blocks,0.49
52,Bryon Russell,1999,Regular_Season,Blocks,0.28
53,Kenny Anderson,1999,Regular_Season,Blocks,0.1
54,Rodney Rogers,1999,Regular_Season,Blocks,0.57
55,David Wesley,1999,Regular_Season,Blocks,0.13
56,Alan Henderson,1999,Regular_Season,Blocks,0.66
57,Othella Harrington,1999,Regular_Season,Blocks,0.71
58,Lindsey Hunter,1999,Regular_Season,Blocks,0.27
59,Scottie Pippen,1999,Regular_Season,Blocks,0.5
60,Rik Smits,1999,Regular_Season,Blocks,1.27
61,Chris Gatling,1999,Regular_Season,Blocks,0.27
62,Shandon Anderson,1999,Regular_Season,Blocks,0.39
63,Bob Sura,1999,Regular_Season,Blocks,0.26
64,Raef LaFrentz,1999,Regular_Season,Blocks,2.22
65,Vlade Divac,1999,Regular_Season,Blocks,1.26
66,Christian Laettner,1999,Regular_Season,Blocks,0.55
67,Jason Williams,1999,Regular_Season,Blocks,0.1
68,Kendall Gill,1999,Regular_Season,Blocks,0.54
69,John Stockton,1999,Regular_Season,Blocks,0.18
70,Elden Campbell,1999,Regular_Season,Blocks,1.92
71,Damon Stoudamire,1999,Regular_Season,Blocks,0.01
