,Player,Season,Stage,Turnovers/Fouls,per_game
0,Shaquille O'Neal,1999,Regular_Season,Turnovers,2.82
1,Vince Carter,1999,Regular_Season,Turnovers,2.17
2,Karl Malone,1999,Regular_Season,Turnovers,2.82
3,Allen Iverson,1999,Regular_Season,Turnovers,3.29
4,Gary Payton,1999,Regular_Season,Turnovers,2.73
5,Jerry Stackhouse,1999,Regular_Season,Turnovers,3.79
6,Grant Hill,1999,Regular_Season,Turnovers,3.24
7,Kevin Garnett,1999,Regular_Season,Turnovers,3.31
8,Michael Finley,1999,Regular_Season,Turnovers,2.39
9,Chris Webber,1999,Regular_Season,Turnovers,2.91
10,Ray Allen,1999,Regular_Season,Turnovers,2.23
11,Alonzo Mourning,1999,Regular_Season,Turnovers,2.75
12,Tim Duncan,1999,Regular_Season,Turnovers,3.27
13,Glenn Robinson,1999,Regular_Season,Turnovers,2.75
14,Antoine Walker,1999,Regular_Season,Turnovers,3.16
15,Shareef Abdur-Rahim,1999,Regular_Season,Turnovers,3.04
16,Stephon Marbury,1999,Regular_Season,Turnovers,3.65
17,Elton Brand,1999,Regular_Season,Turnovers,2.81
18,Allan Houston,1999,Regular_Season,Turnovers,2.27
19,Antonio McDyess,1999,Regular_Season,Turnovers,2.84
20,Keith Van Horn,1999,Regular_Season,Turnovers,3.06
21,Latrell Sprewell,1999,Regular_Season,Turnovers,2.76
22,Sam Cassell,1999,Regular_Season,Turnovers,3.3
23,Michael Dickerson,1999,Regular_Season,Turnovers,2.01
24,Kobe Bryant,1999,Regular_Season,Turnovers,2.76
25,Cliff Robinson,1999,Regular_Season,Turnovers,2.08
26,Reggie Miller,1999,Regular_Season,Turnovers,1.59
27,Shawn Kemp,1999,Regular_Season,Turnovers,3.55
28,Jalen Rose,1999,Regular_Season,Turnovers,2.35
29,Eddie Jones,1999,Regular_Season,Turnovers,2.22
30,Dirk Nowitzki,1999,Regular_Season,Turnovers,1.72
31,David Robinson,1999,Regular_Season,Turnovers,2.05
32,Paul Pierce,1999,Regular_Season,Turnovers,2.44
33,Steve Francis,1999,Regular_Season,Turnovers,3.97
34,Darrell Armstrong,1999,Regular_Season,Turnovers,3.02
35,Jamal Mashburn,1999,Regular_Season,Turnovers,2.37
36,Rasheed Wallace,1999,Regular_Season,Turnovers,1.94
37,Jim Jackson,1999,Regular_Season,Turnovers,2.34
38,Vin Baker,1999,Regular_Season,Turnovers,2.7
39,Mitch Richmond,1999,Regular_Season,Turnovers,2.08
40,Cuttino Mobley,1999,Regular_Season,Turnovers,2.3
41,Nick Van Exel,1999,Regular_Season,Turnovers,2.8
42,Glen Rice,1999,Regular_Season,Turnovers,1.42
43,Lamar Odom,1999,Regular_Season,Turnovers,3.39
44,Derrick Coleman,1999,Regular_Season,Turnovers,2.34
45,Larry Hughes,1999,Regular_Season,Turnovers,2.38
46,Steve Smith,1999,Regular_Season,Turnovers,1.43
47,Juwan Howard,1999,Regular_Season,Turnovers,2.74
48,Tracy McGrady,1999,Regular_Season,Turnovers,2.03
49,Terrell Brandon,1999,Regular_Season,Turnovers,2.59
50,Mike Bibby,1999,Regular_Season,Turnovers,3.01
51,Lamond Murray,1999,Regular_Season,Turnovers,2.49
52,Bryon Russell,1999,Regular_Season,Turnovers,1.23
53,Kenny Anderson,1999,Regular_Season,Turnovers,1.59
54,Rodney Rogers,1999,Regular_Season,Turnovers,1.99
55,David Wesley,1999,Regular_Season,Turnovers,1.94
56,Alan Henderson,1999,Regular_Season,Turnovers,1.7
57,Othella Harrington,1999,Regular_Season,Turnovers,2.65
58,Lindsey Hunter,1999,Regular_Season,Turnovers,1.77
59,Scottie Pippen,1999,Regular_Season,Turnovers,2.54
60,Rik Smits,1999,Regular_Season,Turnovers,1.37
61,Chris Gatling,1999,Regular_Season,Turnovers,1.99
