,Player,Stage,career_FG_%,career_FT_%,career_3PT_%,Minutes_per_game
0,A.C. Green,Playoffs,41.11,69.57,,18.65
1,A.C. Green,Regular_Season,44.59,70.39,10.0,20.37
2,A.J. Price,Playoffs,37.14,90.0,43.75,16.0
3,Aaron Brooks,Playoffs,41.89,75.86,36.36,20.74
4,Aaron Brooks,Regular_Season,41.68,83.95,38.54,24.29
5,Aaron Gordon,Playoffs,46.77,52.63,40.0,32.76
6,Aaron Gordon,Regular_Season,44.81,69.96,32.06,30.11
7,Aaron Gray,Playoffs,69.23,37.5,,14.47
8,Aaron Holiday,Playoffs,57.14,60.0,44.44,17.98
9,Aaron Holiday,Regular_Season,41.39,85.06,39.37,24.5
10,Aaron McKie,Playoffs,44.7,80.0,40.16,32.13
11,Aaron McKie,Regular_Season,44.35,79.2,35.95,26.11
12,Aaron Williams,Playoffs,48.51,77.01,0.0,18.12
13,Aaron Williams,Regular_Season,48.88,74.03,9.09,21.01
14,Abdel Nader,Regular_Season,42.11,71.63,35.15,12.7
15,Acie Law,Playoffs,75.0,90.0,,8.71
16,Adam Morrison,Regular_Season,37.61,71.01,33.72,29.82
17,Adonal Foyle,Regular_Season,49.47,51.74,0.0,19.46
18,Adrian Griffin,Playoffs,49.61,86.67,33.33,14.18
19,Adrian Griffin,Regular_Season,42.78,76.66,26.09,19.52
20,Al Harrington,Playoffs,38.04,60.0,34.78,22.76
21,Al Harrington,Regular_Season,44.3,73.25,35.94,29.76
22,Al Horford,Playoffs,50.11,77.81,40.22,34.57
23,Al Horford,Regular_Season,51.73,75.83,36.42,32.6
24,Al Jefferson,Playoffs,49.39,67.65,0.0,26.24
25,Al Jefferson,Regular_Season,49.99,72.28,12.24,29.73
26,Al Thornton,Regular_Season,45.16,74.74,29.32,27.96
27,Al-Farouq Aminu,Playoffs,43.42,74.23,39.11,29.11
28,Al-Farouq Aminu,Regular_Season,42.05,74.48,33.5,25.09
29,Alan Anderson,Playoffs,48.54,66.67,40.43,22.38
30,Alan Anderson,Regular_Season,42.05,79.45,34.28,23.14
31,Alan Henderson,Playoffs,57.14,100.0,,10.22
32,Alan Henderson,Regular_Season,46.37,64.22,6.67,23.12
33,Alec Burks,Playoffs,37.59,84.21,31.58,16.36
34,Alec Burks,Regular_Season,42.67,79.4,36.14,21.41
35,Alex Abrines,Playoffs,37.21,83.33,36.67,17.27
36,Alex Abrines,Regular_Season,39.4,87.37,38.03,15.31
37,Alex Caruso,Playoffs,42.48,80.0,27.87,24.28
38,Alex Caruso,Regular_Season,41.24,73.4,33.33,18.36
39,Alex Len,Regular_Season,49.55,69.07,33.33,20.48
40,Alexey Shved,Regular_Season,37.17,72.0,29.51,23.89
41,Alexis Ajinca,Regular_Season,55.02,81.82,,14.07
42,Alfonzo McKinnie,Playoffs,44.07,40.0,31.25,10.68
43,Alfonzo McKinnie,Regular_Season,48.73,56.25,35.59,13.94
44,Allan Houston,Playoffs,47.16,89.66,51.02,40.14
45,Allan Houston,Regular_Season,45.3,88.51,39.97,37.77
46,Allen Crabbe,Playoffs,48.45,68.18,37.5,26.27
47,Allen Crabbe,Regular_Season,44.19,85.48,39.95,27.9
48,Allen Iverson,Playoffs,39.99,76.83,33.44,45.18
49,Allen Iverson,Regular_Season,42.73,79.78,31.41,42.29
50,Allonzo Trier,Regular_Season,44.79,80.27,39.39,22.79
51,Alonzo Gee,Regular_Season,42.84,77.43,31.25,27.52
52,Alonzo Mourning,Playoffs,55.13,63.16,0.0,19.32
53,Alonzo Mourning,Regular_Season,54.66,65.7,12.5,27.29
54,Alvin Williams,Playoffs,39.57,72.22,30.95,40.12
55,Alvin Williams,Regular_Season,42.72,76.15,31.99,32.9
56,Amar'e Stoudemire,Playoffs,51.39,74.77,20.0,31.95
57,Amar'e Stoudemire,Regular_Season,53.93,76.04,23.64,34.1
58,Amir Johnson,Playoffs,61.82,67.39,12.5,17.25
59,Amir Johnson,Regular_Season,57.11,66.78,33.7,22.41
60,Anderson Varejao,Playoffs,48.82,61.8,0.0,19.24
61,Anderson Varejao,Regular_Season,53.06,62.77,6.25,26.91
62,Andray Blatche,Playoffs,46.72,72.88,0.0,15.96
63,Andray Blatche,Regular_Season,48.25,71.63,25.32,22.64
64,Andre Drummond,Playoffs,48.15,36.36,0.0,32.34
65,Andre Drummond,Regular_Season,53.8,46.62,13.86,32.18
66,Andre Iguodala,Playoffs,45.74,58.24,35.39,30.93
67,Andre Iguodala,Regular_Season,46.52,71.24,33.25,33.85
68,Andre Miller,Playoffs,44.58,76.62,38.6,30.05
69,Andre Miller,Regular_Season,45.98,80.79,20.95,32.17
70,Andre Roberson,Playoffs,48.48,26.83,35.19,28.56
71,Andre Roberson,Regular_Season,47.63,48.48,26.83,26.37
72,Andrea Bargnani,Playoffs,41.18,80.95,33.33,25.89
73,Andrea Bargnani,Regular_Season,44.12,81.65,37.06,30.24
74,Andrei Kirilenko,Playoffs,44.32,76.61,21.28,27.58
