"","subdiv","mean_score_nearest_amenity","sd_score_nearest_amenity","mean_time_nearest_amenity","sd_time_nearest_amenity","mean_time_all_amenity","sd_time_all_amenity"
"1","Burnaby",0.0773321438379869,0.0291762189145281,21.2206834222704,8.82196109513675,65.4410552323346,6.96664826637705
"2","Coquitlam",0.062014984292373,0.0278269723586161,25.6769807876231,9.4693299888825,82.6568326629269,7.29731319960069
"3","Delta",0.0352688474881231,0.021332395033175,30.2088584817518,12.6176559710349,91.5704516419165,8.07070948874555
"4","Langley",0.045814668696061,0.0396624923828453,24.5772803548387,11.9167034170935,97.9638061661014,6.07100530181949
"5","Maple Ridge",0.057161853234265,0.0528901369002458,34.0678836525612,17.7099034269843,103.807214944286,3.03804282854862
"6","New Westminster",0.1319058170854,0.0536569654336231,11.4439224980916,6.46024662414356,66.4551465112182,6.11673092572441
"7","North Vancouver",0.083307909449574,0.037934771713077,17.9486626228873,9.8394309530415,77.2137994747093,7.42938183225975
"8","Port Coquitlam",0.0454383470840853,0.0208435803128372,28.4861685070423,10.4005570368871,93.7531154467419,6.06948659632458
"9","Richmond",0.0583038616612852,0.0284257054384819,25.7610644444444,9.02725391031565,76.7720897583172,8.05558998335177
"10","Surrey",0.0519442870144287,0.0314692879911466,26.6368333646778,10.0954357009212,89.5613501351707,10.5043272437091
"11","Vancouver",0.133635555692016,0.0692929826833004,13.245913829488,6.95176623051557,54.5944940924648,5.79739197845483
"12","West Vancouver",0.0632312080491948,0.0521624157469858,34.8997235350231,22.4633395869199,80.7845682442645,13.519252610103
