Index,Facility_Name,Source_Facility_Type,ODCAF_Facility_Type,Provider,Unit,Street_No,Street_Name,Postal_Code,City,Prov_Terr,Source_Format_Address,CSD_Name,CSDUID,PRUID,Latitude,Longitude
1,#Hashtag Gallery,..,gallery,toronto,..,801,dundas st w,M6J 1V2,toronto,on,801 dundas st w,Toronto,3520005,35,43.65169472,-79.40803272
2,'Ksan Historical Village & Museum,historic site-building or park,museum,canadian museums association,..,1500,62 hwy,V0J 1Y0,hazelton,bc,1500 hwy 62 hazelton british columbia v0j 1y0 canada,Hazelton,5949022,59,55.2645508,-127.6428124
3,'School Days' Museum,community/regional museum,museum,canadian museums association,..,427,queen st,E3B 5R6,fredericton,nb,427 queen st fredericton new brunswick e3b 5r6 canada,Fredericton,1310032,13,45.963283,-66.6419017
4,10 Austin Street,built heritage properties,heritage or historic site,moncton,..,10,austin st,E1C 1Z6,moncton,nb,10 austin st,Moncton,1307022,13,46.09247776,-64.78022946
5,10 Gates Dancing Inc.,arts,miscellaneous,ottawa,..,..,..,..,ottawa,on,..,Ottawa,3506008,35,45.40856224,-75.71536766
6,100 Mile House Branch,cariboo regional district library system,library or archives,government of british columbia,..,449,birch avenue s,V0K 2E0,pender island,bc,449 s. birch avenue,One Hundred Mile House,5941005,59,51.64139,-121.29562
8,114 Alma St.,built heritage properties,heritage or historic site,moncton,..,114,alma st,..,moncton,nb,114 alma st,Moncton,1307022,13,46.09186844,-64.77860387
9,118 Mountain Road,built heritage properties,heritage or historic site,moncton,..,118,mountain rd,E1C 2K7,moncton,nb,118 mountain rd,Moncton,1307022,13,46.09448386,-64.77990581
10,12 Service Battalion Museum,military museum or fort,museum,canadian museums association,..,5500,no 4 rd,V6X 3L5,richmond,bc,5500 no. 4 rd the sherman armoury richmond british columbia v6x 3l5 canada,Richmond,5915015,59,49.1763542,-123.112783
11,134 Church Street,built heritage properties,heritage or historic site,moncton,..,134,church st,E1C 4Z6,moncton,nb,134 church st,Moncton,1307022,13,46.09253232,-64.77997633
12,14 Church Street,built heritage properties,heritage or historic site,moncton,..,14,church st,..,moncton,nb,14 church st,Moncton,1307022,13,46.08876763,-64.77824948
13,140 Church Street,built heritage properties,heritage or historic site,moncton,..,140,church st,E1C 4Z7,moncton,nb,140 church st,Moncton,1307022,13,46.09283005,-64.78014878
14,149 John Street,built heritage properties,heritage or historic site,moncton,..,149,john st,E1C 2H5,moncton,nb,149 john st,Moncton,1307022,13,46.09346338,-64.79230349
15,15th Field Artillery Regiment Museum And Archives,museum/gallery,museum,vancouver,..,2025,11th av w,V6J 2C7,vancouver,bc,2025 w 11th av vancouver bc v6j 2c7,Vancouver,5915022,59,49.261938,-123.151123
17,169 Botsford Street,built heritage properties,heritage or historic site,moncton,..,169,botsford st,E1C 4X4,moncton,nb,169 botsford st,Moncton,1307022,13,46.09388049,-64.77768348
18,17 Wing Heritage Collection,aeronautics and space museum transportation museum,museum,canadian museums association,..,..,..,R3J 3Y5,winnipeg,mb,air heritage park air force way winnipeg manitoba r3j 3y5 canada,Winnipeg,4611040,46,49.88955855,-97.23574396
19,1810 Carter House,historic site-building or park,heritage or historic site,canadian museums association,..,874,kingston route,E5N 1R7,kingston,nb,874 route 845 kingston new brunswick e5n 1r7 canada,Kingston,1305014,13,45.3951606,-66.0684098
20,1916 City Hall Façade,built heritage properties,heritage or historic site,moncton,..,20,mountain rd,..,moncton,nb,20 mountain rd,Moncton,1307022,13,46.093938,-64.77467849
21,2 For Art,non-commercial art museums and galleries,museum,mississauga,..,177,lakeshore rd e,L5G 4T9,mississauga,on,177 lakeshore rd e,Mississauga,3521005,35,43.55602758,-79.58047695
22,"2 of 2 Gallery, Pari Nadimi Gallery",..,gallery,toronto,..,254,niagara st,M6J 2L8,toronto,on,254 niagara st,Toronto,3520005,35,43.64500353,-79.4090195
23,201 Queen Street,built heritage properties,heritage or historic site,moncton,..,201,queen st,E1C 1L3,moncton,nb,201 queen st,Moncton,1307022,13,46.08907927,-64.78186587
24,221A Artist Run Centre,museum/gallery,museum,vancouver,..,221,georgia st e,V6A 1Z6,vancouver,bc,221 e georgia st vancouver bc v6a 1z6,Vancouver,5915022,59,49.278786,-123.098796
25,224 Cameron Street,built heritage properties,heritage or historic site,moncton,..,224,cameron st,E1C 5Z3,moncton,nb,224 cameron st,Moncton,1307022,13,46.09209779,-64.79058461
26,264 Botsford Street,built heritage properties,heritage or historic site,moncton,..,264,botsford st,..,moncton,nb,264 botsford st,Moncton,1307022,13,46.0969501,-64.77766022
27,26th Field Artillery Regiment 12th Manitoba Dragoons RCA Museum,military museum or fort,museum,canadian museums association,..,1116,victoria ave,R7A 1B2,brandon,mb,1116 victoria ave brandon manitoba r7a 1b2 canada,Brandon,4607062,46,49.842132,-99.9391497
28,27 Hillcrest Drive,built heritage properties,heritage or historic site,moncton,..,27,hillcrest dr,E1E 1V9,moncton,nb,27 hillcrest dr,Moncton,1307022,13,46.08380106,-64.79575819
29,31 Service Battalion,..,miscellaneous,canadian museums association,..,650,catherine st n,L8L 4V7,hamilton,on,650 catherine st. n. hamilton on l8l 4v7,Hamilton,3525005,35,43.274678,-79.855634
30,337 Sketch Gallery,..,gallery,hamilton,..,337,ottawa st n,L8H 3Z8,hamilton,on,"337 ottawa st n, hamilton, on l8h 3z8",Hamilton,3525005,35,43.251424,-79.816402
31,42Nd Field Regiment Lanark & Renfrew (1St Air Defence Regiment) Scottish RCA Regimental Museum,..,museum,canadian museums association,..,177,victoria st,K8A 4K2,pembroke,on,177 victoria st pembroke on k8a 4k2,Pembroke,3547064,35,45.8268694,-77.1134778
32,47 Fleet Street,built heritage properties,heritage or historic site,moncton,..,47,fleet st,E1C 1S1,moncton,nb,47 fleet st,Moncton,1307022,13,46.09006201,-64.78490829
33,48th Highlanders Museum,historical society military museum or fort,museum,canadian museums association,..,73,simcoe street,M5J 1W9,toronto,on,73 simcoe street toronto ontario m5j 1w9 canada,Toronto,3520005,35,43.6471644,-79.38556364
34,5(Bc) Regiment RCA Museum And Archives,..,museum,canadian museums association,304,715,bay street,V8T 1R1,victoria,bc,715 bay st bay street armoury room 304 victoria british columbia v8t 1r1 canada,Victoria,5917034,59,..,..
35,5-11 Williams Street,built heritage properties,heritage or historic site,moncton,..,11,williams st,E1C 2G1,moncton,nb,11 williams st,Moncton,1307022,13,46.09414921,-64.78519446
36,50 Centuries Cultures Society Inc,..,miscellaneous,canadian museums association,84,92,michael's drive,A0K 1L0,bird cove,nl,84-92 michael's drive bird cove newfoundland & labrador a0k 1l0 canada,Bird Cove,1009026,10,..,..
37,69 Highfield Street,built heritage properties,heritage or historic site,moncton,..,69,highfield st,E1C 5N4,moncton,nb,69 highfield st,Moncton,1307022,13,46.08887003,-64.78480708
38,70 Reade Street,built heritage properties,heritage or historic site,moncton,..,70,reade st,E1C 6S2,moncton,nb,70 reade st,Moncton,1307022,13,46.1007607,-64.80063191
39,72 Botsford Street,built heritage properties,heritage or historic site,moncton,..,72,botsford st,E1C 4X1,moncton,nb,72 botsford st,Moncton,1307022,13,46.09087808,-64.77695599
40,73 Highfield Street,built heritage properties,heritage or historic site,moncton,..,73,highfield st,E1C 5N4,moncton,nb,73 highfield st,Moncton,1307022,13,46.08895397,-64.78482417
41,7302754 Canada Inc,artist making fine art and exhibiting in galleries,artist,burnaby,..,6909,mckay av,..,burnaby,bc,6909 mckay av,Burnaby,5915025,59,49.2210003,-123.0091848
42,75 St. George Street,built heritage properties,heritage or historic site,moncton,..,75,george st,E1C 1T5,moncton,nb,75 st george st,Moncton,1307022,13,46.09289476,-64.77561797
43,86 Botsford Street,built heritage properties,heritage or historic site,moncton,..,86,botsford st,E1C 4X3,moncton,nb,86 botsford st,Moncton,1307022,13,46.09139359,-64.77725037
44,86 Weldon Street,built heritage properties,heritage or historic site,moncton,..,86,weldon st,E1C 5W2,moncton,nb,86 weldon st,Moncton,1307022,13,46.08830065,-64.78745899
45,88 Church Street,built heritage properties,heritage or historic site,moncton,..,88,church st,E1C 4Z5,moncton,nb,88 church st,Moncton,1307022,13,46.09103641,-64.77958106
47,8th Hussars Museum,..,museum,canadian museums association,3,66,broad st,E4E 5S2,sussex,nb,66 broad st -unit 3 sussex new brunswick e4e 5s2 canada,Sussex,1305022,13,..,..
49,91 Steadman Street,built heritage properties,heritage or historic site,moncton,..,91,steadman st,E1C 4P5,moncton,nb,91 steadman st,Moncton,1307022,13,46.0928285,-64.77292773
50,9th Line Baptist Church,museum,museum,markham,..,9350,markham rd,..,markham,on,9350 markham rd,Markham,3519036,35,43.89380235,-79.26684341
51,Ès Trad - Living Heritage Center,art gallery,gallery,province of québec,..,5,rue cul de sac,G1K 4H6,québec,qc,"5, rue cul-de-sac",Québec,2423027,24,46.812477,-71.202943
53,École De Ballet De Saint-Hubert,..,theatre/performance and concert hall,longueuil,..,..,..,J3Y 9A9,longueuil,qc,"cp 29535 carrefour saint-hubert , saint-hubert, j3y9a9",Longueuil,2458227,24,..,..
54,École De Design Industriel De La Faculté De L'Aménagement De L'Université De Montréal,..,miscellaneous,canadian museums association,..,2940,chemin côte sainte-catherine,H3T 1B9,montréal,qc,pavillon de la faculté de l'aménagement université de montréal 2940 chemin côte sainte-catherine montréal québec h3t 1b9 canada,Montréal,2466023,24,..,..
55,École Du Rang Ii D'Authier,community/regional museum historic site-building or park,museum,canadian museums association,..,269,rang ii,J0Z 1C0,authier,qc,269 rang ii (route 111 authier) authier québec j0z 1c0 canada,Authier,2487050,24,..,..
56,Écomusée D'Anticosti,community/regional museum,museum,canadian museums association,..,1,rue du-couvent,G0G 2Y0,port menier,qc,1 rue du couvent port-menier québec g0g 2y0 canada,L'Île-d'Anticosti,2498020,24,49.8187405,-64.3521419
57,Écomusée De Hearst Ecomuseum,..,museum,canadian museums association,..,631,front street,P0L 1N0,hearst,on,631 front street hearst ontario p0l 1n0 canada,Hearst,3556076,35,49.6888667,-83.6595109
58,Écomusée De La Mi-Carême,museum / historic site,museum,province of québec,4,2,ch ernest,G4T 2W5,les-îles-de-la madeleine,qc,"04-2, ch. ernest",Les Îles-de-la-Madeleine,2401023,24,47.403476,-61.899131
61,Écomusée Du Fier Monde,..,museum,province of québec,..,2050,rue amherst,H2L 3L8,montréal,qc,"2050, rue amherst",Montréal,2466023,24,45.520179,-73.563753
62,Économusée,museum and art galleries,museum,ottawa,..,..,..,..,gatineau,on,..,Gatineau,2481017,24,45.42987036,-75.72678606
63,Église Évangélique Arménienne,église,miscellaneous,montréal,..,11455,rue drouart,H3M 2S6,montréal,qc,"11455, rue drouart",Montréal,2466023,24,45.5363408,-73.6873676
64,Église De La Purification-De-La-Bienheureuse-Vierge-Marie,"arts, lettres et culture",miscellaneous,repentigny,..,445,rue notre-dame,..,repentigny,qc,"445 rue notre-dame, repentigny",Repentigny,2460013,24,45.73907497,-73.44713199
66,Église De La Visitation-De-La-Bienheureuse-Vierge-Marie,église,miscellaneous,montréal,..,1847,boulevard gouin est,H2C 1C8,montréal,qc,"1847, boulevard gouin est",Montréal,2466023,24,45.570398,-73.6603942
67,Église De Sainte-Geneviève De Berthier,historic site-building or park religious museum,museum,canadian museums association,..,780,rue montcalm,J0K 1A0,berthierville,qc,780 rue montcalm berthierville québec j0k 1a0 canada,Berthierville,2452035,24,46.0811004,-73.17849063
68,Église Historique De Barachois,art gallery community/regional museum historic site-building or park,museum,canadian museums association,..,1350,133 route,E4P 8G7,grand barachois,nb,1350 route 133 grand-barachois new brunswick e4p 8g7 canada,..,..,13,..,..
69,Église Jean Xxiii,église,miscellaneous,montréal,..,7101,de-l'alsace avenue,H1J 2K5,montréal,qc,"7101, avenue de l'alsace",Montréal,2466023,24,45.6044108,-73.5821982
70,Église Marie-Reine-De-La-Paix,église,miscellaneous,montréal,..,11075,boulevard gouin ouest,H8Y 1X6,montréal,qc,"11075, boulevard gouin ouest",Montréal,2466023,24,45.5109589,-73.8141179
72,Église Notre-Dame-Des-Champs,"arts, lettres et culture",miscellaneous,repentigny,..,187,boulevard iberville,..,repentigny,qc,"187 boulevard iberville, repentigny",Repentigny,2460013,24,45.72113471,-73.47029554
