id,subdiv,pop,lat,lon
59150004004,West Vancouver,35,49.3739,-123.2738
59150004005,West Vancouver,50,49.3746,-123.2757
59150004006,West Vancouver,94,49.3738,-123.2763
59150004011,West Vancouver,0,49.3735,-123.2725
59150004012,West Vancouver,0,49.3725,-123.2729
59150004013,West Vancouver,0,49.3724,-123.2728
59150004014,West Vancouver,0,49.3869,-123.2578
59150004017,West Vancouver,0,49.3848,-123.2601
59150004018,West Vancouver,189,49.3895,-123.2575
59150004019,West Vancouver,0,49.4057,-123.2426
59150005003,West Vancouver,88,49.3717,-123.2792
59150005007,West Vancouver,24,49.3699,-123.2776
59150005015,West Vancouver,0,49.371,-123.2745
59150005016,West Vancouver,74,49.3725,-123.277
59150005017,West Vancouver,317,49.3716,-123.2758
59150006004,West Vancouver,29,49.3708,-123.2818
59150006005,West Vancouver,10,49.3705,-123.2805
59150006006,West Vancouver,93,49.3694,-123.2814
59150006007,West Vancouver,32,49.3699,-123.2826
59150006010,West Vancouver,107,49.3731,-123.2802
59150006011,West Vancouver,161,49.3744,-123.278
59150007002,West Vancouver,15,49.3743,-123.2894
59150007006,West Vancouver,198,49.3744,-123.2871
59150007007,West Vancouver,108,49.3718,-123.2835
59150007008,West Vancouver,146,49.3766,-123.2786
59150007009,West Vancouver,79,49.3769,-123.2814
59150008003,West Vancouver,72,49.3536,-123.2738
59150008006,West Vancouver,215,49.3549,-123.2665
59150008007,West Vancouver,20,49.3549,-123.275
59150008008,West Vancouver,111,49.36,-123.2818
59150008009,West Vancouver,178,49.3649,-123.2842
59150009001,West Vancouver,23,49.3663,-123.2826
59150009002,West Vancouver,41,49.3652,-123.282
59150009003,West Vancouver,172,49.367,-123.2788
59150009008,West Vancouver,100,49.3608,-123.2797
59150009009,West Vancouver,10,49.3592,-123.2832
59150009018,West Vancouver,0,49.3661,-123.2754
59150009019,West Vancouver,0,49.3608,-123.2732
59150009021,West Vancouver,53,49.3626,-123.2763
59150009022,West Vancouver,0,49.3646,-123.2751
59150010001,West Vancouver,147,49.3586,-123.2648
59150010003,West Vancouver,34,49.3568,-123.2631
59150010004,West Vancouver,145,49.356,-123.2662
59150010005,West Vancouver,30,49.3546,-123.268
59150010011,West Vancouver,0,49.361,-123.2745
59150010012,West Vancouver,0,49.3607,-123.2743
59150010013,West Vancouver,475,49.3587,-123.2681
59150010014,West Vancouver,0,49.3615,-123.2636
59150012001,West Vancouver,162,49.3527,-123.2467
59150012005,West Vancouver,36,49.3493,-123.2524
59150012006,West Vancouver,314,49.3478,-123.2511
59150012009,West Vancouver,0,49.3512,-123.2486
59150012010,West Vancouver,0,49.3509,-123.2497
59150012012,West Vancouver,0,49.3515,-123.2486
59150013001,West Vancouver,112,49.3551,-123.2501
59150013002,West Vancouver,162,49.3562,-123.2452
59150013003,West Vancouver,86,49.354,-123.2517
59150014003,West Vancouver,0,49.3595,-123.2002
59150014005,West Vancouver,0,49.3503,-123.202
59150014007,West Vancouver,0,49.3612,-123.2721
59150014010,West Vancouver,0,49.3737,-123.1927
59150014011,West Vancouver,0,49.3832,-123.1902
59150014012,West Vancouver,15,49.3499,-123.2416
59150014013,West Vancouver,0,49.3494,-123.2412
59150014015,West Vancouver,0,49.3613,-123.2713
59150014016,West Vancouver,0,49.3613,-123.2716
59150014017,West Vancouver,0,49.3879,-123.2563
59150014020,West Vancouver,"1,055",49.3782,-123.2258
59150014021,West Vancouver,0,49.3471,-123.1933
59150014022,West Vancouver,0,49.3473,-123.1932
59150014023,West Vancouver,0,49.3481,-123.2277
59150014024,West Vancouver,0,49.3721,-123.2701
59150014025,West Vancouver,0,49.3614,-123.2726
59150015001,West Vancouver,138,49.3477,-123.2306
59150015002,West Vancouver,243,49.345,-123.2257
59150015003,West Vancouver,114,49.3461,-123.2227
59150016003,West Vancouver,289,49.3445,-123.2141
59150016004,West Vancouver,36,49.3425,-123.2119
59150016005,West Vancouver,88,49.3434,-123.2083
59150017003,West Vancouver,26,49.3425,-123.2144
59150017005,West Vancouver,24,49.3406,-123.2177
59150017009,West Vancouver,252,49.3412,-123.2195
59150018001,West Vancouver,28,49.3402,-123.2399
59150018005,West Vancouver,52,49.3413,-123.2096
59150018006,West Vancouver,26,49.3399,-123.2033
59150018007,West Vancouver,29,49.3395,-123.201
59150018008,West Vancouver,99,49.34,-123.2357
59150018009,West Vancouver,75,49.3401,-123.2225
59150018010,West Vancouver,188,49.3386,-123.2024
59150018011,West Vancouver,44,49.3395,-123.239
59150019001,West Vancouver,73,49.3456,-123.2333
59150019002,West Vancouver,188,49.3448,-123.2363
59150019003,West Vancouver,48,49.3419,-123.2337
59150019004,West Vancouver,0,49.3412,-123.2377
59150019005,West Vancouver,237,49.3435,-123.229
59150019006,West Vancouver,36,49.3421,-123.2283
59150019007,West Vancouver,15,49.3448,-123.2304
59150020001,West Vancouver,33,49.3477,-123.241
59150020002,West Vancouver,184,49.3463,-123.2421
59150020003,West Vancouver,172,49.3459,-123.2398
59150021001,West Vancouver,207,49.343,-123.244
59150021005,West Vancouver,25,49.3402,-123.2413
59150021006,West Vancouver,55,49.3407,-123.2429
59150022001,West Vancouver,90,49.3482,-123.2475
59150022002,West Vancouver,129,49.3465,-123.2454
59150022003,West Vancouver,73,49.3461,-123.2475
59150023001,West Vancouver,54,49.345,-123.2507
59150023005,West Vancouver,5,49.341,-123.2506
59150023010,West Vancouver,82,49.3437,-123.2491
59150023011,West Vancouver,413,49.3424,-123.2535
59150024001,West Vancouver,0,49.3415,-123.2653
59150024002,West Vancouver,15,49.3407,-123.2645
59150024005,West Vancouver,86,49.3412,-123.2618
59150024006,West Vancouver,83,49.3398,-123.2598
59150024012,West Vancouver,42,49.3389,-123.2517
59150024015,West Vancouver,0,49.339,-123.2552
59150024016,West Vancouver,32,49.3392,-123.2532
59150024017,West Vancouver,84,49.3401,-123.2546
59150025001,West Vancouver,87,49.3519,-123.2626
59150025004,West Vancouver,32,49.34,-123.2663
59150025007,West Vancouver,68,49.3396,-123.2482
59150025008,West Vancouver,286,49.3496,-123.2675
59150025009,West Vancouver,119,49.3365,-123.2629
59150025010,West Vancouver,17,49.3403,-123.265
59150027004,West Vancouver,512,49.3316,-123.1763
59150027005,West Vancouver,55,49.3346,-123.1864
59150028001,West Vancouver,30,49.3371,-123.1896
59150028012,West Vancouver,123,49.335,-123.1808
59150028013,West Vancouver,66,49.3349,-123.184
59150028014,West Vancouver,25,49.3358,-123.1871
59150028015,West Vancouver,19,49.3364,-123.1897
59150028017,West Vancouver,60,49.3338,-123.1809
59150028018,West Vancouver,109,49.3362,-123.1856
59150028019,West Vancouver,10,49.3343,-123.1808
59150029001,West Vancouver,30,49.338,-123.1895
59150029002,West Vancouver,61,49.338,-123.1872
59150029003,West Vancouver,29,49.3373,-123.1868
59150029005,West Vancouver,55,49.338,-123.1839
59150029006,West Vancouver,71,49.3379,-123.1807
59150029007,West Vancouver,66,49.337,-123.1807
59150029008,West Vancouver,15,49.336,-123.1806
59150029010,West Vancouver,96,49.3369,-123.1838
59150030001,West Vancouver,19,49.3409,-123.1894
59150030004,West Vancouver,21,49.339,-123.1893
59150030005,West Vancouver,61,49.3389,-123.1871
59150030006,West Vancouver,49,49.3399,-123.1871
59150030007,West Vancouver,68,49.3409,-123.1871
59150030008,West Vancouver,70,49.3408,-123.1838
59150030009,West Vancouver,50,49.3399,-123.1839
59150030010,West Vancouver,47,49.3389,-123.1839
59150030011,West Vancouver,50,49.3388,-123.1807
59150030012,West Vancouver,66,49.3398,-123.1806
59150030013,West Vancouver,5,49.34,-123.1894
59150031003,West Vancouver,187,49.3415,-123.1799
59150031004,West Vancouver,65,49.3422,-123.1874
59150031005,West Vancouver,24,49.3421,-123.1894
59150031009,West Vancouver,404,49.3437,-123.1825
59150031010,West Vancouver,0,49.3455,-123.1863
59150032001,West Vancouver,80,49.341,-123.1954
59150032004,West Vancouver,37,49.3381,-123.1968
59150032009,West Vancouver,45,49.3367,-123.1929
59150032010,West Vancouver,105,49.3396,-123.1968
59150032011,West Vancouver,133,49.3398,-123.1915
59150033002,West Vancouver,56,49.3452,-123.1945
59150033003,West Vancouver,51,49.3424,-123.194
59150033004,West Vancouver,23,49.3429,-123.1974
59150033007,West Vancouver,0,49.3472,-123.1908
59150033008,West Vancouver,343,49.3456,-123.1986
59150033009,West Vancouver,0,49.3467,-123.205
59150033010,West Vancouver,0,49.3461,-123.2182
59150033011,West Vancouver,0,49.3465,-123.2194
59150034001,West Vancouver,234,49.3439,-123.2016
59150034002,West Vancouver,47,49.3409,-123.2012
59150034003,West Vancouver,153,49.3418,-123.2061
59150035005,West Vancouver,0,49.3443,-123.1741
59150035008,West Vancouver,100,49.3429,-123.1698
59150035011,West Vancouver,0,49.3458,-123.1771
59150035012,West Vancouver,202,49.345,-123.1761
59150035013,West Vancouver,0,49.3454,-123.179
59150035014,West Vancouver,0,49.344,-123.1735
59150035015,West Vancouver,258,49.348,-123.1838
59150035016,West Vancouver,328,49.3498,-123.1865
59150036001,West Vancouver,43,49.3426,-123.1718
59150036002,West Vancouver,124,49.3416,-123.1725
59150036003,West Vancouver,41,49.3406,-123.1718
59150036004,West Vancouver,81,49.3396,-123.1727
59150036005,West Vancouver,108,49.3406,-123.1759
59150036006,West Vancouver,93,49.3397,-123.1769
59150036007,West Vancouver,85,49.3388,-123.1769
59150037001,West Vancouver,39,49.3414,-123.1693
59150037002,West Vancouver,45,49.3405,-123.1693
59150037003,West Vancouver,54,49.3396,-123.1694
59150037004,West Vancouver,68,49.3387,-123.1694
59150037005,West Vancouver,80,49.3387,-123.1727
59150037006,West Vancouver,125,49.3399,-123.1662
59150037007,West Vancouver,37,49.3398,-123.1673
59150038001,West Vancouver,88,49.3378,-123.1728
59150038002,West Vancouver,82,49.3369,-123.1728
59150038003,West Vancouver,88,49.336,-123.1728
59150038004,West Vancouver,85,49.3351,-123.1729
59150038005,West Vancouver,71,49.3342,-123.1728
59150039001,West Vancouver,54,49.3378,-123.1694
59150039002,West Vancouver,70,49.3369,-123.1694
59150039003,West Vancouver,68,49.336,-123.1694
59150039004,West Vancouver,10,49.3352,-123.1684
59150039005,West Vancouver,61,49.3355,-123.1674
59150039006,West Vancouver,65,49.3373,-123.1673
59150039007,West Vancouver,53,49.3373,-123.166
59150040003,West Vancouver,0,49.3321,-123.1695
59150040004,West Vancouver,37,49.3321,-123.1672
59150040005,West Vancouver,33,49.3331,-123.1672
59150040006,West Vancouver,18,49.3341,-123.1672
59150040009,West Vancouver,317,49.334,-123.1696
59150041004,West Vancouver,111,49.3355,-123.1583
59150041006,West Vancouver,341,49.3365,-123.1621
59150042001,West Vancouver,117,49.3334,-123.1647
59150042002,West Vancouver,42,49.3321,-123.1654
59150042006,West Vancouver,25,49.333,-123.1596
59150042007,West Vancouver,25,49.3341,-123.1596
59150042008,West Vancouver,21,49.3321,-123.1596
59150042011,West Vancouver,152,49.3331,-123.1617
59150043004,West Vancouver,535,49.3301,-123.1613
59150044001,West Vancouver,0,49.3311,-123.1596
59150044002,West Vancouver,142,49.3311,-123.1579
59150044003,West Vancouver,346,49.3301,-123.1579
59150045001,West Vancouver,286,49.3301,-123.1555
59150045002,West Vancouver,141,49.3292,-123.1555
59150045003,West Vancouver,10,49.3284,-123.1554
59150045004,West Vancouver,168,49.3291,-123.1578
59150046001,West Vancouver,49,49.3301,-123.1529
59150046002,West Vancouver,413,49.3292,-123.1529
59150047001,West Vancouver,284,49.3311,-123.1556
59150047002,West Vancouver,63,49.331,-123.1528
59150047003,West Vancouver,79,49.331,-123.1501
59150048002,West Vancouver,67,49.334,-123.1556
59150048003,West Vancouver,50,49.333,-123.1556
59150048004,West Vancouver,54,49.332,-123.1556
59150048005,West Vancouver,38,49.3321,-123.158
59150048006,West Vancouver,58,49.332,-123.1528
59150048007,West Vancouver,74,49.333,-123.1528
59150048010,West Vancouver,88,49.3336,-123.158
59150049001,West Vancouver,62,49.3377,-123.1555
59150049002,West Vancouver,69,49.3368,-123.1556
59150049003,West Vancouver,34,49.3359,-123.1562
59150049004,West Vancouver,32,49.3359,-123.1548
59150049008,West Vancouver,59,49.334,-123.1528
59150049010,West Vancouver,52,49.3368,-123.1528
59150049011,West Vancouver,50,49.3377,-123.1528
59150049012,West Vancouver,60,49.335,-123.1556
59150049013,West Vancouver,86,49.3355,-123.1528
59150050002,West Vancouver,63,49.3359,-123.1501
59150050003,West Vancouver,53,49.335,-123.1501
59150050004,West Vancouver,46,49.334,-123.1501
59150050005,West Vancouver,53,49.334,-123.1473
59150050006,West Vancouver,64,49.335,-123.1473
59150050007,West Vancouver,90,49.3359,-123.1473
59150050008,West Vancouver,72,49.3368,-123.1473
59150050010,West Vancouver,51,49.3374,-123.1491
59150051001,West Vancouver,61,49.333,-123.1501
59150051002,West Vancouver,62,49.332,-123.1501
59150051003,West Vancouver,64,49.3319,-123.1473
59150051004,West Vancouver,49,49.3329,-123.1473
59150051005,West Vancouver,47,49.3334,-123.1452
59150051006,West Vancouver,30,49.3319,-123.1452
59150051009,West Vancouver,68,49.335,-123.1445
59150051010,West Vancouver,87,49.3329,-123.1438
59150052001,West Vancouver,71,49.3377,-123.1445
59150052002,West Vancouver,54,49.3368,-123.1445
59150052003,West Vancouver,67,49.3359,-123.1445
59150052004,West Vancouver,55,49.3369,-123.1421
59150052009,West Vancouver,0,49.3372,-123.1348
59150052010,West Vancouver,344,49.3367,-123.1378
59150052011,West Vancouver,0,49.3379,-123.1377
59150053001,West Vancouver,87,49.333,-123.1423
59150053003,West Vancouver,220,49.3345,-123.1388
59150053004,West Vancouver,81,49.3312,-123.1403
59150053005,West Vancouver,10,49.3332,-123.1415
59150053006,West Vancouver,173,49.334,-123.1403
59150054001,West Vancouver,53,49.3309,-123.1473
59150054002,West Vancouver,37,49.3309,-123.1445
59150054003,West Vancouver,134,49.33,-123.142
59150054005,West Vancouver,73,49.3288,-123.1445
59150054009,West Vancouver,0,49.3268,-123.1358
59150054010,West Vancouver,256,49.3289,-123.1378
59150055001,West Vancouver,86,49.33,-123.1501
59150055002,West Vancouver,86,49.3291,-123.1502
59150055006,West Vancouver,66,49.3279,-123.1476
59150055009,West Vancouver,87,49.33,-123.1474
59150055010,West Vancouver,16,49.3281,-123.1498
59150055011,West Vancouver,68,49.3275,-123.149
59150055013,West Vancouver,47,49.3284,-123.1505
59150055014,West Vancouver,93,49.3289,-123.1474
59150056001,West Vancouver,112,49.3302,-123.1596
59150056002,West Vancouver,53,49.3292,-123.1596
59150056003,West Vancouver,5,49.3282,-123.1596
59150056004,West Vancouver,10,49.3282,-123.1578
59150056006,West Vancouver,0,49.3274,-123.158
59150056007,West Vancouver,0,49.3275,-123.1596
59150056009,West Vancouver,0,49.3276,-123.156
59150056011,West Vancouver,238,49.3282,-123.1529
59150056012,West Vancouver,0,49.327,-123.1533
59150056015,West Vancouver,61,49.3274,-123.1457
59150056016,West Vancouver,39,49.3278,-123.1555
59150056017,West Vancouver,0,49.3273,-123.1556
59150056019,West Vancouver,0,49.3273,-123.1532
59150056020,West Vancouver,10,49.3277,-123.1572
59150056022,West Vancouver,0,49.3278,-123.1583
59150056024,West Vancouver,0,49.3275,-123.153
59150056025,West Vancouver,0,49.3264,-123.1454
59150056026,West Vancouver,0,49.3176,-123.1357
59150056027,West Vancouver,5,49.3241,-123.147
59150059001,West Vancouver,45,49.3305,-123.1335
59150059002,West Vancouver,47,49.3297,-123.1335
59150059009,West Vancouver,52,49.3281,-123.1324
59150059010,West Vancouver,644,49.3284,-123.1285
59150059013,West Vancouver,30,49.3277,-123.1338
59150059014,West Vancouver,363,49.3265,-123.1335
59150062003,North Vancouver,"1,046",49.3295,-123.1228
59150064001,North Vancouver,15,49.3282,-123.1236
59150064002,North Vancouver,74,49.3268,-123.1224
59150064003,North Vancouver,0,49.3273,-123.1228
59150064004,North Vancouver,0,49.3274,-123.1197
59150064005,North Vancouver,191,49.3293,-123.1195
59150064006,North Vancouver,0,49.3264,-123.1195
59150064007,North Vancouver,125,49.3249,-123.1196
59150064008,North Vancouver,30,49.3248,-123.121
59150064009,North Vancouver,0,49.3253,-123.1232
59150067007,North Vancouver,80,49.3218,-123.1155
59150067008,North Vancouver,0,49.3231,-123.1188
59150067009,North Vancouver,305,49.323,-123.1155
59150068004,North Vancouver,108,49.3249,-123.1141
59150068005,North Vancouver,315,49.3249,-123.1168
59150069003,North Vancouver,256,49.3228,-123.1111
59150069004,North Vancouver,84,49.3217,-123.1105
59150069005,North Vancouver,237,49.3248,-123.1119
59150070001,North Vancouver,23,49.321,-123.1158
59150070002,North Vancouver,23,49.321,-123.1148
59150070003,North Vancouver,19,49.321,-123.1137
59150070004,North Vancouver,20,49.321,-123.1127
59150070005,North Vancouver,245,49.32,-123.1143
59150070006,North Vancouver,19,49.3192,-123.1127
59150070007,North Vancouver,22,49.3193,-123.1148
59150070008,North Vancouver,29,49.3193,-123.1158
59150070009,North Vancouver,35,49.3185,-123.1164
