"fromId","n_amenities"
"59150014003",5
"59150014005",5
"59150014010",4
"59150014011",3
"59150014012",4
"59150014013",4
"59150014021",5
"59150014022",5
"59150014023",5
"59150015001",5
"59150015002",5
"59150015003",5
"59150016003",5
"59150016004",5
"59150016005",5
"59150017003",5
"59150017005",5
"59150017009",5
"59150018001",5
"59150018005",6
"59150018006",6
"59150018007",6
"59150018008",5
"59150018009",5
"59150018010",6
"59150018011",5
"59150019001",5
"59150019002",5
"59150019003",5
"59150019004",5
"59150019005",5
"59150019006",5
"59150019007",5
"59150021001",4
"59150021005",5
"59150021006",4
"59150023005",2
"59150024012",1
"59150025007",2
"59150027004",8
"59150027005",6
"59150028001",6
"59150028012",8
"59150028013",6
"59150028014",6
"59150028015",6
"59150028017",8
"59150028018",6
"59150028019",8
"59150029001",6
"59150029002",6
"59150029003",6
"59150029005",6
"59150029006",6
"59150029007",8
"59150029008",8
"59150029010",6
"59150030001",6
"59150030004",6
"59150030005",6
"59150030006",6
"59150030007",6
"59150030008",6
"59150030009",6
"59150030010",6
"59150030011",6
"59150030012",6
"59150030013",6
"59150031003",6
"59150031004",6
"59150031005",6
"59150031009",6
"59150031010",6
"59150032001",6
"59150032004",6
"59150032009",6
"59150032010",6
"59150032011",6
"59150033002",6
"59150033003",6
"59150033004",6
"59150033007",6
"59150033008",5
"59150033009",5
"59150033010",5
"59150033011",5
"59150034001",5
"59150034002",6
"59150034003",6
"59150035005",6
"59150035008",8
"59150035011",6
"59150035012",6
"59150035013",6
"59150035014",6
"59150035015",6
"59150035016",6
"59150036001",8
"59150036002",8
"59150036003",8
"59150036004",8
"59150036005",8
"59150036006",8
"59150036007",8
"59150037001",8
"59150037002",8
"59150037003",8
"59150037004",8
"59150037005",8
"59150037006",8
"59150037007",8
"59150038001",8
"59150038002",8
"59150038003",8
"59150038004",8
"59150038005",8
"59150039001",8
"59150039002",8
"59150039003",8
"59150039004",9
"59150039005",8
"59150039006",8
"59150039007",8
"59150040003",9
"59150040004",12
"59150040005",9
"59150040006",9
"59150040009",9
"59150041004",14
"59150041006",9
"59150042001",12
