"fromId","mean_score","lat","lon","pop","amn_density","trafficScore","need","efficiency"
"59150004004",0.26,49.3739,-123.2738,0.23,0.01,0.01,0.01,0.229166666666667
"59150004005",0.24,49.3746,-123.2757,0.28,0.01,0.01,0.02,0.197916666666667
"59150004006",0.23,49.3738,-123.2763,0.48,0.01,0.01,0.05,0.15625
"59150004011",0.24,49.3735,-123.2725,0.13,0.01,0.01,0,0.21875
"59150004012",0.23,49.3725,-123.2729,0.13,0.01,0.01,0,0.208333333333333
"59150004013",0.19,49.3724,-123.2728,0.13,0.01,0.01,0,0.166666666666667
"59150004014",0.07,49.3869,-123.2578,0.13,0.01,0.01,0,0.0416666666666667
"59150004017",0.07,49.3848,-123.2601,0.13,0.01,0.01,0,0.0416666666666667
"59150004018",0.07,49.3895,-123.2575,0.76,0.01,0.01,0.13,-0.0937500000000001
"59150004019",0.07,49.4057,-123.2426,0.13,0.01,0.02,0.01,0.03125
"59150005003",0.19,49.3717,-123.2792,0.46,0.01,0.01,0.05,0.114583333333333
"59150005007",0.2,49.3699,-123.2776,0.19,0.01,0.01,0.01,0.166666666666667
"59150005015",0.16,49.371,-123.2745,0.13,0.01,0.01,0,0.135416666666667
"59150005016",0.24,49.3725,-123.277,0.39,0.01,0.01,0.04,0.177083333333333
"59150005017",0.22,49.3716,-123.2758,0.88,0.01,0.01,0.17,0.0208333333333333
"59150006004",0.18,49.3708,-123.2818,0.21,0.01,0.01,0.01,0.145833333333333
"59150006005",0.2,49.3705,-123.2805,0.16,0.01,0.01,0.01,0.166666666666667
"59150006006",0.17,49.3694,-123.2814,0.48,0.01,0.01,0.05,0.09375
"59150006007",0.14,49.3699,-123.2826,0.22,0.01,0.01,0.01,0.104166666666667
"59150006010",0.12,49.3731,-123.2802,0.54,0.01,0.01,0.07,0.0208333333333333
"59150006011",0.23,49.3744,-123.278,0.71,0.01,0.01,0.11,0.09375
"59150007002",0.05,49.3743,-123.2894,0.17,0.01,0.01,0.01,0.0104166666666667
"59150007006",0.05,49.3744,-123.2871,0.77,0.01,0.01,0.13,-0.114583333333333
"59150007007",0.14,49.3718,-123.2835,0.55,0.01,0.01,0.07,0.0416666666666667
"59150007008",0.13,49.3766,-123.2786,0.67,0.01,0.01,0.1,0
"59150007009",0.05,49.3769,-123.2814,0.41,0.01,0.01,0.04,-0.0208333333333334
"59150008003",0.12,49.3536,-123.2738,0.38,0.01,0.01,0.03,0.0625
"59150008006",0.16,49.3549,-123.2665,0.79,0.01,0.01,0.13,0
"59150008007",0.16,49.3549,-123.275,0.18,0.01,0.01,0.01,0.125
"59150008008",0.13,49.36,-123.2818,0.56,0.01,0.01,0.07,0.03125
