Index,Latitude,Longitude,ODCAF_Facility_Type,Facility_Name,City,Branch_Id,Postal_Code_y,Total_Volumes,Annual_Visitors,Total_Space,Hrs_per_Year,Days_per_Year,Weight
1840,49.23,-123.01,library or archives,Bob Prittie Metrotown Library,burnaby,BB001,V5H 4N5,0.313325054084237,0.38731483357104335,0.15619998896308152,3612,339.0,0.28561329220612064
1936,49.28,-123.07,library or archives,Britannia,vancouver,BVA001,V5L 4X4,0.0045101899859410575,0.0064008148281312575,0.0029247834004745873,1030,206.0,0.004611929404848968
1964,49.08,-122.67,library or archives,Brookswood Library,langley,BABF005,V3A 2W2,0.019496532606517836,0.0460086736092151,0.00993322664312124,2885,301.0,0.025146144286284727
2090,49.25,-122.9,library or archives,Cameron,coquitlam,BB002,V3J 1L6,0.04848433099975737,0.12724436502932562,0.012499310192594228,2901,341.0,0.06274266874055907
2093,49.25,-122.9,library or archives,Cameron Library,burnaby,BB002,V3J 1L6,0.04848433099975737,0.12724436502932562,0.012499310192594228,2901,341.0,0.06274266874055907
2359,49.28,-123.12,library or archives,Central Branch,vancouver,BVA017,V6B 6B3,0.005879732212224939,0.00663032198870286,0.002234975994702279,1030,206.0,0.004915010065210026
2359,49.28,-123.12,library or archives,Central Branch,vancouver,BVA003,V6B 6B1,0.0005951590909283044,0.002675338548965586,0.0008277688869267701,1030,206.0,0.0013660888422735535
2581,49.22,-123.04,library or archives,Champlain Heights,vancouver,BVA004,V5S 4W2,0.01419082457432176,0.0012247289561879637,0.007146404723801115,1876,257.0,0.007520652751436946
2721,49.16,-123.14,library or archives,City of Richmond Archives,richmond,BRI001,V6Y 1R8,0.05345948902548617,0.02710360409134074,0.0352629545830804,2649,326.0,0.03860868256663577
2823,49.24,-123.04,library or archives,Collingwood,vancouver,BVA005,V5R 5J4,0.03858558413089442,0.12569583928903552,0.02455714364549418,3227,354.0,0.06294618902180804
2880,49.25,-122.85,library or archives,Coquitlam Public Library,north vancouver,BCOQ002,V3J 6A9,0.0,0.005218049935162932,0.0,715,204.0,0.001739349978387644
3232,49.25,-123.19,library or archives,Dunbar,vancouver,BVA006,V6S 2G7,0.01686143191557533,0.1955514984538056,0.00460791347055902,4357,364.0,0.07234028127997998
