"poi_name","open_days","Total_hours","Rating","Total_Review","Index","id","lat","lon","type","city","city_id"
"Carnegie Centre Theatre",1,0.273684210526316,0.470588235294117,0.141828653707703,0.471525274882034,2292,"49.281052","-123.1001272","theatre/performance and concert hall","Vancouver",5915022
"Cineplex Odeon International Village Cinemas",1,0.568421052631579,0.176470588235294,1,0.686222910216718,2692,"49.280474","-123.106621","theatre/performance and concert hall","Vancouver",5915022
"Havana Theatre",1,0.736842105263158,0.529411764705882,0.419006479481641,0.671315087362671,4546,"49.2737114","-123.0694828","theatre/performance and concert hall","Vancouver",5915022
"Music Box Music And Theatre Academy",1,0.389473684210526,0.88235294117647,0.00503959683225342,0.569216555554813,6749,"49.20012164","-122.9116263","theatre/performance and concert hall","New Westminster",5915029
"Orpheum Theatre",1,0.715789473684211,0.823529411764706,0.673386129109671,0.803176253639647,7153,"49.279881","-123.12051","theatre/performance and concert hall","Vancouver",5915022
"Rickshaw Theatre",1,0.421052631578947,0.647058823529412,0.209503239740821,0.569403673712295,7806,"49.281272","-123.0983094","theatre/performance and concert hall","Vancouver",5915022
"Scotiabank Dance Centre - Faris Family Studio",1,0.473684210526316,0.764705882352941,0.0496760259179266,0.572016529699296,8165,"49.277065","-123.125711","theatre/performance and concert hall","Vancouver",5915022
"The Ironworks Studio",1,0.442857142857143,0.529411764705882,0.0110391168706503,0.495827006108419,8963,"49.284153","-123.099046","theatre/performance and concert hall","Vancouver",5915022
"Tom Lee Music Recital Hall",1,0.389473684210526,0.11764705882353,0.0499160067194624,0.38925918743838,9118,"49.2800125","-123.1224555","theatre/performance and concert hall","Vancouver",5915022
"Vancity Theatre",1,0.715789473684211,0.764705882352941,0.11231101511879,0.648201592788985,9336,"49.276974","-123.124732","theatre/performance and concert hall","Vancouver",5915022
"Wise Club Hall",1,1,0.705882352941177,0.0599952003839693,0.691469388331286,9694,"49.2772414","-123.0660915","theatre/performance and concert hall","Vancouver",5915022
"Art Club/Bard On Beach Production Centre Theatre",0.75,0.531578947368421,0.705882352941177,0.0436765058795296,0.507784451547282,395,"49.270223","-123.108576","theatre/performance and concert hall","Vancouver",5915022
"Arts Club Theatre - Granville Island Stage",0.75,0.652631578947368,0.705882352941177,0.0530357571394288,0.540387422256993,489,"49.272124","-123.134362","theatre/performance and concert hall","Vancouver",5915022
"Arts Club Theatre - Revue Stage",0.75,0.652631578947368,0.705882352941177,0.0530357571394288,0.540387422256993,490,"49.272235","-123.13467","theatre/performance and concert hall","Vancouver",5915022
"Arts Club Theatre - Stanley Industrial Alliance Stage",0.75,0.542105263157895,0.764705882352941,0.150707943364531,0.551879772218842,491,"49.261346","-123.1382118","theatre/performance and concert hall","Vancouver",5915022
"Cbc Studio 700",0.75,0.452631578947368,0.470588235294117,0.0268778497720182,0.425024416003376,2335,"49.279079","-123.114496","theatre/performance and concert hall","Vancouver",5915022
"Improv Centre",0.75,0.810526315789474,0.823529411764706,0.0381569474442045,0.605553168749596,4857,"49.270764","-123.136248","theatre/performance and concert hall","Vancouver",5915022
"Royal City Youth Ballet",0.75,0.126315789473684,1,0,0.469078947368421,7955,"49.20406694","-122.9069895","theatre/performance and concert hall","New Westminster",5915029
"Royal Principal Ballet Academy Ltd",0.75,0.726315789473684,1,0,0.619078947368421,7967,"..","..","theatre/performance and concert hall","New Westminster",5915029
"St James Community Square",0.75,0.210526315789474,0.588235294117647,0.0208783297336213,0.392409984910185,8476,"49.2630518","-123.1765215","theatre/performance and concert hall","Vancouver",5915022
"Stagecoach Theatre Arts School",0.75,0.189473684210526,0.647058823529412,0.00143988480921526,0.396993098137288,8565,"49.0876119","-122.5894912","theatre/performance and concert hall","Langley",5915001
"Chapel Arts",0.5,0.252631578947368,0.647058823529412,0.0031197504199664,0.350702538224187,2592,"49.2821671","-123.0953265","theatre/performance and concert hall","Vancouver",5915022
