DAUID,DBPOP,lat,lon
59150004,35,49.3739,-123.2738
59150004,50,49.3746,-123.2757
59150004,94,49.3738,-123.2763
59150004,0,49.3735,-123.2725
59150004,0,49.3725,-123.2729
59150004,0,49.3724,-123.2728
59150004,0,49.3869,-123.2578
59150004,0,49.3848,-123.2601
59150004,189,49.3895,-123.2575
59150004,0,49.4057,-123.2426
59150005,88,49.3717,-123.2792
59150005,24,49.3699,-123.2776
59150005,0,49.371,-123.2745
59150005,74,49.3725,-123.277
59150005,317,49.3716,-123.2758
59150006,29,49.3708,-123.2818
59150006,10,49.3705,-123.2805
59150006,93,49.3694,-123.2814
59150006,32,49.3699,-123.2826
59150006,107,49.3731,-123.2802
59150006,161,49.3744,-123.27799999999999
59150007,15,49.3743,-123.2894
59150007,198,49.3744,-123.2871
59150007,108,49.3718,-123.2835
59150007,146,49.3766,-123.2786
59150007,79,49.3769,-123.2814
59150008,72,49.3536,-123.2738
59150008,215,49.3549,-123.2665
59150008,20,49.3549,-123.275
59150008,111,49.36,-123.2818
59150008,178,49.3649,-123.2842
59150009,23,49.3663,-123.2826
59150009,41,49.3652,-123.28200000000001
59150009,172,49.367,-123.2788
59150009,100,49.3608,-123.2797
59150009,10,49.3592,-123.2832
59150009,0,49.3661,-123.2754
59150009,0,49.3608,-123.2732
59150009,53,49.3626,-123.2763
59150009,0,49.3646,-123.2751
59150010,147,49.3586,-123.2648
59150010,34,49.3568,-123.2631
59150010,145,49.356,-123.2662
59150010,30,49.3546,-123.26799999999999
59150010,0,49.361000000000004,-123.2745
59150010,0,49.3607,-123.2743
59150010,475,49.3587,-123.2681
59150010,0,49.3615,-123.2636
59150012,162,49.3527,-123.2467
59150012,36,49.3493,-123.2524
59150012,314,49.3478,-123.2511
59150012,0,49.3512,-123.2486
59150012,0,49.3509,-123.2497
59150012,0,49.3515,-123.2486
59150013,112,49.3551,-123.2501
59150013,162,49.3562,-123.2452
59150013,86,49.354,-123.2517
59150014,0,49.3595,-123.2002
59150014,0,49.3503,-123.20200000000001
59150014,0,49.3612,-123.2721
59150014,0,49.3737,-123.1927
59150014,0,49.3832,-123.1902
59150014,15,49.3499,-123.2416
59150014,0,49.3494,-123.2412
59150014,0,49.3613,-123.2713
59150014,0,49.3613,-123.2716
59150014,0,49.3879,-123.2563
59150014,"1,055",49.3782,-123.2258
59150014,0,49.3471,-123.1933
59150014,0,49.3473,-123.1932
59150014,0,49.3481,-123.2277
59150014,0,49.3721,-123.2701
59150014,0,49.3614,-123.2726
59150015,138,49.3477,-123.2306
59150015,243,49.345,-123.2257
59150015,114,49.3461,-123.2227
59150016,289,49.3445,-123.2141
59150016,36,49.3425,-123.2119
59150016,88,49.3434,-123.2083
59150017,26,49.3425,-123.2144
59150017,24,49.3406,-123.2177
59150017,252,49.3412,-123.2195
59150018,28,49.3402,-123.2399
59150018,52,49.3413,-123.2096
59150018,26,49.3399,-123.2033
59150018,29,49.3395,-123.20100000000001
59150018,99,49.34,-123.2357
59150018,75,49.3401,-123.2225
59150018,188,49.3386,-123.2024
59150018,44,49.3395,-123.23899999999999
59150019,73,49.3456,-123.2333
59150019,188,49.3448,-123.2363
59150019,48,49.3419,-123.2337
59150019,0,49.3412,-123.2377
59150019,237,49.3435,-123.229
59150019,36,49.3421,-123.2283
59150019,15,49.3448,-123.2304
59150020,33,49.3477,-123.241
59150020,184,49.3463,-123.2421
59150020,172,49.3459,-123.2398
59150021,207,49.343,-123.244
59150021,25,49.3402,-123.2413
59150021,55,49.3407,-123.2429
59150022,90,49.3482,-123.2475
59150022,129,49.3465,-123.2454
59150022,73,49.3461,-123.2475
59150023,54,49.345,-123.2507
59150023,5,49.341,-123.2506
59150023,82,49.3437,-123.2491
59150023,413,49.3424,-123.2535
59150024,0,49.3415,-123.2653
59150024,15,49.3407,-123.2645
59150024,86,49.3412,-123.2618
59150024,83,49.3398,-123.2598
59150024,42,49.3389,-123.2517
59150024,0,49.339,-123.2552
59150024,32,49.3392,-123.2532
59150024,84,49.3401,-123.2546
59150025,87,49.3519,-123.2626
59150025,32,49.34,-123.2663
59150025,68,49.3396,-123.2482
59150025,286,49.3496,-123.2675
59150025,119,49.3365,-123.2629
59150025,17,49.3403,-123.265
59150027,512,49.3316,-123.1763
59150027,55,49.3346,-123.1864
59150028,30,49.3371,-123.1896
59150028,123,49.335,-123.1808
59150028,66,49.3349,-123.184
59150028,25,49.3358,-123.1871
59150028,19,49.3364,-123.1897
59150028,60,49.3338,-123.1809
59150028,109,49.3362,-123.1856
59150028,10,49.3343,-123.1808
59150029,30,49.338,-123.1895
59150029,61,49.338,-123.1872
59150029,29,49.3373,-123.1868
59150029,55,49.338,-123.1839
59150029,71,49.3379,-123.1807
59150029,66,49.336999999999996,-123.1807
59150029,15,49.336000000000006,-123.1806
59150029,96,49.3369,-123.1838
59150030,19,49.3409,-123.1894
59150030,21,49.339,-123.1893
59150030,61,49.3389,-123.1871
59150030,49,49.3399,-123.1871
59150030,68,49.3409,-123.1871
59150030,70,49.3408,-123.1838
59150030,50,49.3399,-123.1839
59150030,47,49.3389,-123.1839
59150030,50,49.3388,-123.1807
59150030,66,49.3398,-123.1806
59150030,5,49.34,-123.1894
59150031,187,49.3415,-123.1799
59150031,65,49.3422,-123.1874
59150031,24,49.3421,-123.1894
59150031,404,49.3437,-123.1825
59150031,0,49.3455,-123.1863
59150032,80,49.341,-123.1954
59150032,37,49.3381,-123.1968
59150032,45,49.3367,-123.1929
59150032,105,49.3396,-123.1968
59150032,133,49.3398,-123.1915
59150033,56,49.3452,-123.1945
59150033,51,49.3424,-123.194
59150033,23,49.3429,-123.1974
59150033,0,49.3472,-123.1908
59150033,343,49.3456,-123.1986
59150033,0,49.3467,-123.205
59150033,0,49.3461,-123.2182
59150033,0,49.3465,-123.2194
59150034,234,49.3439,-123.2016
59150034,47,49.3409,-123.2012
59150034,153,49.3418,-123.2061
59150035,0,49.3443,-123.1741
59150035,100,49.3429,-123.1698
59150035,0,49.3458,-123.1771
59150035,202,49.345,-123.1761
59150035,0,49.3454,-123.179
59150035,0,49.343999999999994,-123.1735
59150035,258,49.348,-123.1838
59150035,328,49.3498,-123.1865
59150036,43,49.3426,-123.1718
59150036,124,49.3416,-123.1725
59150036,41,49.3406,-123.1718
59150036,81,49.3396,-123.1727
59150036,108,49.3406,-123.1759
59150036,93,49.3397,-123.1769
59150036,85,49.3388,-123.1769
59150037,39,49.3414,-123.1693
59150037,45,49.3405,-123.1693
59150037,54,49.3396,-123.1694
59150037,68,49.3387,-123.1694
59150037,80,49.3387,-123.1727
59150037,125,49.3399,-123.1662
59150037,37,49.3398,-123.1673
59150038,88,49.3378,-123.1728
59150038,82,49.3369,-123.1728
59150038,88,49.336000000000006,-123.1728
59150038,85,49.3351,-123.1729
59150038,71,49.3342,-123.1728
59150039,54,49.3378,-123.1694
59150039,70,49.3369,-123.1694
59150039,68,49.336000000000006,-123.1694
59150039,10,49.3352,-123.1684
59150039,61,49.3355,-123.1674
59150039,65,49.3373,-123.1673
59150039,53,49.3373,-123.166
59150040,0,49.3321,-123.1695
59150040,37,49.3321,-123.1672
59150040,33,49.3331,-123.1672
59150040,18,49.3341,-123.1672
59150040,317,49.333999999999996,-123.1696
59150041,111,49.3355,-123.1583
59150041,341,49.3365,-123.1621
59150042,117,49.3334,-123.1647
59150042,42,49.3321,-123.1654
59150042,25,49.333,-123.1596
59150042,25,49.3341,-123.1596
59150042,21,49.3321,-123.1596
59150042,152,49.3331,-123.1617
59150043,535,49.3301,-123.1613
59150044,0,49.3311,-123.1596
59150044,142,49.3311,-123.1579
59150044,346,49.3301,-123.1579
59150045,286,49.3301,-123.1555
59150045,141,49.3292,-123.1555
59150045,10,49.3284,-123.1554
59150045,168,49.3291,-123.1578
59150046,49,49.3301,-123.1529
59150046,413,49.3292,-123.1529
59150047,284,49.3311,-123.1556
59150047,63,49.331,-123.1528
59150047,79,49.331,-123.1501
59150048,67,49.333999999999996,-123.1556
59150048,50,49.333,-123.1556
59150048,54,49.332,-123.1556
59150048,38,49.3321,-123.15799999999999
59150048,58,49.332,-123.1528
59150048,74,49.333,-123.1528
59150048,88,49.3336,-123.15799999999999
59150049,62,49.3377,-123.1555
59150049,69,49.3368,-123.1556
59150049,34,49.3359,-123.1562
59150049,32,49.3359,-123.1548
59150049,59,49.333999999999996,-123.1528
59150049,52,49.3368,-123.1528
59150049,50,49.3377,-123.1528
59150049,60,49.335,-123.1556
59150049,86,49.3355,-123.1528
59150050,63,49.3359,-123.1501
59150050,53,49.335,-123.1501
59150050,46,49.333999999999996,-123.1501
59150050,53,49.333999999999996,-123.1473
59150050,64,49.335,-123.1473
59150050,90,49.3359,-123.1473
59150050,72,49.3368,-123.1473
59150050,51,49.3374,-123.1491
59150051,61,49.333,-123.1501
59150051,62,49.332,-123.1501
59150051,64,49.3319,-123.1473
59150051,49,49.3329,-123.1473
59150051,47,49.3334,-123.1452
59150051,30,49.3319,-123.1452
59150051,68,49.335,-123.1445
59150051,87,49.3329,-123.1438
59150052,71,49.3377,-123.1445
59150052,54,49.3368,-123.1445
59150052,67,49.3359,-123.1445
59150052,55,49.3369,-123.1421
59150052,0,49.3372,-123.1348
59150052,344,49.3367,-123.1378
