id,employment_proximity
59150004004,0.0066
59150004005,0.0065
59150004006,0.0048
59150004011,0.0034
59150004012,0.0027
59150004013,0.0025
59150004014,0.0007
59150004017,0.0007
59150004018,0.0017
59150004019,0.001
59150005003,0.0046
59150005007,0.003
59150005015,0.0025
59150005016,0.0044
59150005017,0.0042
59150006004,0.004
59150006005,0.0041
59150006006,0.0038
59150006007,0.0037
59150006010,0.0039
59150006011,0.0042
59150007002,0.0018
59150007006,0.0017
59150007007,0.0034
59150007008,0.0038
59150007009,0.0023
59150008003,0.0034
59150008006,0.0044
59150008007,0.0032
59150008008,0.0027
59150008009,0.0028
59150009001,0.0033
59150009002,0.0032
59150009003,0.003
59150009008,0.0025
59150009009,0.0027
59150009018,0.002
59150009019,0.0019
59150009021,0.0025
59150009022,0.0024
59150010001,0.0035
59150010003,0.0042
59150010004,0.0042
59150010005,0.0043
59150010011,0.0019
59150010012,0.0027
59150010013,0.0039
59150010014,0.0028
59150012001,0.0051
59150012005,0.0058
59150012006,0.006
59150012009,0.0045
59150012010,0.0061
59150012012,0.0011
59150013001,0.0051
59150013002,0.0036
59150013003,0.0055
59150014003,0.0007
59150014005,0.0111
59150014007,0.0021
59150014010,0.0001
59150014011,0.0002
59150014012,0.0049
59150014013,0.0049
59150014015,0.0024
59150014016,0.0002
59150014017,0.0008
59150014020,0.0002
59150014021,0.0131
59150014022,0.0131
59150014023,0.0069
59150014024,0.0023
59150014025,0.0025
59150015001,0.0067
59150015002,0.0083
59150015003,0.008
59150016003,0.0088
59150016004,0.0138
59150016005,0.0127
59150017003,0.0122
59150017005,0.011
59150017009,0.0104
59150018001,0.0076
59150018005,0.0149
59150018006,0.0152
59150018007,0.0164
59150018008,0.0076
59150018009,0.011
59150018010,0.016
59150018011,0.0071
59150019001,0.0074
59150019002,0.0077
59150019003,0.0086
59150019004,F
59150019005,0.0085
59150019006,0.0094
59150019007,0.0079
59150020001,0.0055
59150020002,0.0053
59150020003,0.0065
59150021001,0.0069
59150021005,0.0077
59150021006,0.007
59150022001,0.0072
59150022002,0.0065
59150022003,0.0072
59150023001,0.0063
59150023005,0.0067
59150023010,0.0064
59150023011,0.0062
59150024001,0.0062
59150024002,0.0063
59150024005,0.0062
59150024006,0.0068
59150024012,0.0065
59150024015,0.0058
59150024016,0.0068
59150024017,0.0068
59150025001,0.0044
59150025004,0.0058
59150025007,0.007
59150025008,0.0055
59150025009,0.0052
59150025010,0.0056
59150027004,0.054
59150027005,0.0288
59150028001,0.0263
59150028012,0.0536
59150028013,0.0405
59150028014,0.0277
59150028015,0.0262
59150028017,0.0508
59150028018,0.0309
59150028019,0.0525
59150029001,0.0245
59150029002,0.0239
59150029003,0.0242
59150029005,0.0273
59150029006,0.03
59150029007,0.0372
59150029008,0.0431
59150029010,0.0342
59150030001,0.0199
59150030004,0.0232
59150030005,0.0244
59150030006,0.0211
59150030007,0.0207
59150030008,0.0219
59150030009,0.0233
59150030010,0.0259
59150030011,0.0309
59150030012,0.0253
59150030013,0.0227
59150031003,0.0248
59150031004,0.0182
59150031005,0.0183
59150031009,0.0158
59150031010,0.0175
59150032001,0.0163
59150032004,0.0198
59150032009,0.0233
59150032010,0.0175
59150032011,0.0178
59150033002,0.0126
59150033003,0.0164
59150033004,0.0146
59150033007,0.014
59150033008,0.0129
59150033009,0.0063
59150033010,0.0071
59150033011,0.0015
59150034001,0.0121
59150034002,0.0164
59150034003,0.0147
59150035005,0.0255
59150035008,0.0269
59150035011,0.0238
59150035012,0.025
59150035013,0.0217
59150035014,0.0072
59150035015,0.0133
