id,lat,lon,type,name,city,city_id
10,49.1763542,-123.112783,museum,12 Service Battalion Museum,Richmond,5915015
15,49.261938,-123.151123,museum,15th Field Artillery Regiment Museum And Archives,Vancouver,5915022
24,49.278786,-123.098796,museum,221A Artist Run Centre,Vancouver,5915022
41,49.2210003,-123.0091848,artist,7302754 Canada Inc,Burnaby,5915025
97,49.14709735,-122.6467963,heritage or historic site,Abc Heritage Preschool And Child Care,Langley,5915001
115,49.279222,-123.11624,library or archives,Accessible Services,Vancouver,5915022
123,49.0347018,-122.5538744,heritage or historic site,Adamsons Heritage Nursery Ltd,Langley,5915001
157,49.2639124,-123.2549451,gallery,Ahva Gallery,Greater Vancouver A,5915020
213,49.12579987,-122.5153837,festival site,Aldergrove Festival Days Society,Langley,5915001
215,49.055541,-122.481863,library or archives,Aldergrove Library,Langley,5915001
254,49.2803099,-123.1228359,museum,Alliance For Arts And Culture,Vancouver,5915022
268,49.20354979,-122.9128583,gallery,Amelia Douglas Gallery,New Westminster,5915029
286,49.21315638,-122.9153803,artist,Angie Au Hemphill Studio,New Westminster,5915029
317,49.20177737,-122.911292,museum,Anvil Centre/Museum And Archives,New Westminster,5915029
318,49.263974,-123.105108,theatre/performance and concert hall,Anza Club (Australia-New Zealand Association),Vancouver,5915022
337,49.2817199,-123.1095005,gallery,Architectural Institute of BC Gallery,Vancouver,5915022
358,49.2476604,-123.1545938,library or archives,Archives of Anglican Provincial Synod of British Columbia And Diocese of New Westminster,Vancouver,5915022
394,49.2800409,-123.1249139,museum,Art Beatus,Vancouver,5915022
395,49.270223,-123.108576,theatre/performance and concert hall,Art Club/Bard On Beach Production Centre Theatre,Vancouver,5915022
397,49.2593906,-123.1383072,museum,Art Emporium,Vancouver,5915022
446,49.2775077,-123.1165781,gallery,Art Works Gallery,Vancouver,5915022
452,49.17478795,-122.5857293,gallery,Arteclectica Gallery,Langley,5915001
463,49.23767967,-122.5644971,artist,Artist In Residence,Maple Ridge,5915075
479,49.18572558,-122.9425957,artist,Artists In the Boro,New Westminster,5915029
487,49.27638531,-122.8571362,art or cultural centre,Arts & Cultural Centre,Port Moody,5915043
489,49.272124,-123.134362,theatre/performance and concert hall,Arts Club Theatre - Granville Island Stage,Vancouver,5915022
490,49.272235,-123.13467,theatre/performance and concert hall,Arts Club Theatre - Revue Stage,Vancouver,5915022
491,49.261346,-123.1382118,theatre/performance and concert hall,Arts Club Theatre - Stanley Industrial Alliance Stage,Vancouver,5915022
506,49.282941,-123.104299,gallery,Artspeak Gallery,Vancouver,5915022
507,49.2799985,-123.1179808,museum,Artstarts In Schools,Vancouver,5915022
532,49.2769146,-123.0698555,theatre/performance and concert hall,Astorino's Hall,Vancouver,5915022
565,49.282395,-123.108715,gallery,Audain Gallery,Vancouver,5915022
594,49.2809655,-123.1071802,gallery,Ayden Gallery,Vancouver,5915022
602,49.2811369,-123.0913998,gallery,Back Gallery Project,Vancouver,5915022
607,49.262669,-123.102505,museum,Baf Studio,Vancouver,5915022
669,49.2758184,-123.1000334,museum,Basic Inquiry,Vancouver,5915022
688,49.258496,-123.1391799,gallery,Bau-Xi Gallery,Vancouver,5915022
696,49.16829541,-122.57544,museum,BC Farm Machinery & Agricultural Museum Association,Langley,5915001
699,49.2643712,-123.2154904,museum,BC Golf House Society,Greater Vancouver A,5915020
701,49.27937945,-123.1107111,museum,BC Regiment (Duke of Connaught's Own) Museum,Vancouver,5915022
703,49.27619,-123.110438,museum,BC Sports Hall of Fame Museum,Vancouver,5915022
710,49.17032581,-122.5773185,gallery,Bearga Gallery,Langley,5915001
715,49.2634318,-123.251485,museum,Beaty Biodiversity Museum,Greater Vancouver A,5915020
738,49.33747064,-123.1023904,gallery,Bel Art Gallery,North Vancouver,5915046
1759,49.2799979,-122.9156806,museum,Bill Reid Centre For Northwest Coast Studies At Simon Fraser University,Burnaby,5915025
1760,49.284308,-123.119819,gallery,Bill Reid Gallery,Vancouver,5915022
1795,49.16712676,-122.5808057,gallery,Birthplace of BC Gallery,Langley,5915001
1822,49.242077,-123.113759,museum,Bloedel Conservatory,Vancouver,5915022
1839,49.228683,-123.006456,library or archives,Bob Prittie Metrotown Branch,Burnaby,5915025
1840,49.22815036,-123.0063797,library or archives,Bob Prittie Metrotown Library,Burnaby,5915025
1885,49.387838,-123.3325302,museum,Bowen Island Museum And Archives,Bowen Island,5915062
1886,49.379668,-123.333937,library or archives,Bowen Island Public Library,Bowen Island,5915062
1916,49.20563967,-122.923408,artist,Brenda Lee Fairfax,New Westminster,5915029
1930,49.16293,-123.142625,library or archives,Brighouse (Main) Branch,Richmond,5915015
1936,49.2756,-123.0738,library or archives,Britannia,Vancouver,5915022
1940,49.1203872,-123.1693557,heritage or historic site,Britannia Shipyards National Historic Site,Richmond,5915015
1942,49.31993995,-122.8890636,library or archives,British Columbia History of Nursing Society,Port Moody,5915043
1964,49.07501894,-122.6682286,library or archives,Brookswood Library,Langley,5915001
1991,49.20479302,-122.9094657,artist,Bully's Studios Inc,New Westminster,5915029
2015,49.24092931,-122.9713007,gallery,Burnaby Art Gallery,Burnaby,5915025
2017,49.2394477,-122.9672589,museum,Burnaby Village Museum,Burnaby,5915025
2087,49.184558,-123.095055,library or archives,Cambie Branch,Richmond,5915015
2090,49.253462,-122.899745,library or archives,Cameron,Burnaby,5915025
2093,49.25381086,-122.8985944,library or archives,Cameron Library,Burnaby,5915025
2169,49.2016302,-122.9117763,museum,Canadian Lacrosse Hall of Fame & Museum,New Westminster,5915029
2180,49.09920599,-122.6260122,museum,Canadian Museum Flight Association,Langley,5915001
2185,..,..,museum,Canadian Museum of Flight Association,Langley,5915001
2196,49.278055,-123.127484,museum,Canadian Music Centre (BC Region),Vancouver,5915022
2207,49.217061,-123.1169866,gallery,Canadian Society of Asian Arts,Vancouver,5915022
2217,49.21466644,-122.9229655,artist,Candice James,New Westminster,5915029
2241,49.337232,-123.102372,library or archives,Capilano,North Vancouver,5915046
2243,49.31615035,-123.0202274,theatre/performance and concert hall,Capilano College Performing Arts Theatre,North Vancouver,5915046
2244,49.317592,-123.0210051,library or archives,Capilano University Archives,North Vancouver,5915046
2256,..,..,library or archives,Cariboo Regional District Library System,Bowen Island,5915062
2292,49.281052,-123.1001272,theatre/performance and concert hall,Carnegie Centre Theatre,Vancouver,5915022
2330,49.2687198,-123.0980394,gallery,Catriona Jeffries Gallery,Vancouver,5915022
2335,49.279079,-123.114496,theatre/performance and concert hall,Cbc Studio 700,Vancouver,5915022
2355,49.33075439,-123.0715514,theatre/performance and concert hall,Centennial Theatre,North Vancouver,5915051
2359,49.2797,-123.1156,library or archives,Central Branch,Vancouver,5915022
2377,49.280067,-123.098181,museum,Centre A - Centre For Contemporary Asian Art,Vancouver,5915022
2574,49.2657529,-123.1384021,gallery,Chali-Rosso Gallery,Vancouver,5915022
2581,49.2191,-123.0402,library or archives,Champlain Heights,Vancouver,5915022
2586,49.269523,-123.255108,theatre/performance and concert hall,Chan Centre For the Performing Art - Concert Hall,Greater Vancouver A,5915020
2592,49.2821671,-123.0953265,theatre/performance and concert hall,Chapel Arts,Vancouver,5915022
2610,49.270485,-123.132876,gallery,Charles H. Scott Gallery,Vancouver,5915022
2644,49.2797742,-123.1023264,museum,Chinese Canadian Military Museum,Vancouver,5915022
2646,49.279894,-123.102448,museum,Chinese Cultural Centre Museum And Archives,Vancouver,5915022
2692,49.280474,-123.106621,theatre/performance and concert hall,Cineplex Odeon International Village Cinemas,Vancouver,5915022
2694,49.272369,-123.135541,gallery,Circle Craft Co-Operative Shop & Gallery,Vancouver,5915022
2713,49.19131,-122.849808,library or archives,City Centre,Surrey,5915004
2714,49.284268,-122.79557,library or archives,City Centre Branch,Coquitlam,5915034
2721,49.1641205,-123.1411334,library or archives,City of Richmond Archives,Richmond,5915015
2725,49.276084,-123.142663,museum,City of Vancouver Archives,Vancouver,5915022
2729,49.31386319,-123.076908,miscellaneous,Cityscape Community Art Space,North Vancouver,5915051
2769,49.107276,-122.760497,library or archives,Cloverdale,Surrey,5915004
2781,49.2843539,-123.109198,gallery,Coastal Peoples Fine Arts Gallery Gastown,Vancouver,5915022
2782,49.2762084,-123.119591,gallery,Coastal Peoples Fine Arts Gallery Yaletown,Vancouver,5915022
2800,49.2064788,-123.1423354,museum,Colbourne House/ Marpole Museum,Vancouver,5915022
2823,49.2362,-123.0426,library or archives,Collingwood,Vancouver,5915022
2879,49.2385727,-122.8619326,museum,Coquitlam Heritage Society Operating Mackin House,Coquitlam,5915034
2880,49.25344945,-122.8457007,library or archives,Coquitlam Public Library,Coquitlam,5915034
2945,49.269837,-123.13479,gallery,Craft Council of British Columbia Gallery,Vancouver,5915022
3023,49.20545725,-122.9422878,artist,Cynthia Jennifer Smith,New Westminster,5915029
3060,49.20940208,-122.914006,artist,David M. Adams,New Westminster,5915029
3061,49.21288017,-122.899074,artist,David Mcfarland,New Westminster,5915029
3078,49.19867539,-122.9205677,artist,Dee Spencer Native Art,New Westminster,5915029
3079,49.3269993,-122.9501363,heritage or historic site,Deep Cove Heritage Society,North Vancouver,5915046
3080,49.32698715,-122.9500893,theatre/performance and concert hall,Deep Cove Shaw Theatre,North Vancouver,5915046
3094,49.06830874,-122.6597014,theatre/performance and concert hall,Delphi Custom Theatres Inc,Langley,5915001
3096,49.09240685,-123.0868134,museum,Delta Museum And Archives Society,Delta,5915011
3135,49.282364,-123.108528,theatre/performance and concert hall,Djavad Mowafaghian Cinema,Vancouver,5915022
3140,49.2683622,-123.0692806,gallery,Doctor Vigari Gallery,Vancouver,5915022
3143,49.21222676,-122.9205007,artist,Dogma Portraits,New Westminster,5915029
3171,49.2643788,-123.2543722,theatre/performance and concert hall,Dorothy Somerset Studio Theatre,Greater Vancouver A,5915020
