lat,lon,facility_type,type,name,city,id
49.1763542,-123.112783,amenities,museum,12 Service Battalion Museum,Richmond,5915015
49.261938,-123.151123,amenities,museum,15th Field Artillery Regiment Museum And Archives,Vancouver,5915022
49.278786,-123.098796,amenities,museum,221A Artist Run Centre,Vancouver,5915022
49.2210003,-123.0091848,amenities,artist,7302754 Canada Inc,Burnaby,5915025
49.14709735,-122.6467963,amenities,heritage or historic site,Abc Heritage Preschool And Child Care,Langley,5915001
49.279222,-123.11624,amenities,library or archives,Accessible Services,Vancouver,5915022
49.0347018,-122.5538744,amenities,heritage or historic site,Adamsons Heritage Nursery Ltd,Langley,5915001
49.2639124,-123.2549451,amenities,gallery,Ahva Gallery,Greater Vancouver A,5915020
49.12579987,-122.5153837,amenities,festival site,Aldergrove Festival Days Society,Langley,5915001
49.055541,-122.481863,amenities,library or archives,Aldergrove Library,Langley,5915001
49.2803099,-123.1228359,amenities,museum,Alliance For Arts And Culture,Vancouver,5915022
49.20354979,-122.9128583,amenities,gallery,Amelia Douglas Gallery,New Westminster,5915029
49.21315638,-122.9153803,amenities,artist,Angie Au Hemphill Studio,New Westminster,5915029
49.20177737,-122.911292,amenities,museum,Anvil Centre/Museum And Archives,New Westminster,5915029
49.263974,-123.105108,amenities,theatre/performance and concert hall,Anza Club (Australia-New Zealand Association),Vancouver,5915022
49.2817199,-123.1095005,amenities,gallery,Architectural Institute of BC Gallery,Vancouver,5915022
49.2476604,-123.1545938,amenities,library or archives,Archives of Anglican Provincial Synod of British Columbia And Diocese of New Westminster,Vancouver,5915022
49.2800409,-123.1249139,amenities,museum,Art Beatus,Vancouver,5915022
49.270223,-123.108576,amenities,theatre/performance and concert hall,Art Club/Bard On Beach Production Centre Theatre,Vancouver,5915022
49.2593906,-123.1383072,amenities,museum,Art Emporium,Vancouver,5915022
49.2775077,-123.1165781,amenities,gallery,Art Works Gallery,Vancouver,5915022
49.17478795,-122.5857293,amenities,gallery,Arteclectica Gallery,Langley,5915001
49.23767967,-122.5644971,amenities,artist,Artist In Residence,Maple Ridge,5915075
49.18572558,-122.9425957,amenities,artist,Artists In the Boro,New Westminster,5915029
49.27638531,-122.8571362,amenities,art or cultural centre,Arts & Cultural Centre,Port Moody,5915043
49.272124,-123.134362,amenities,theatre/performance and concert hall,Arts Club Theatre - Granville Island Stage,Vancouver,5915022
49.272235,-123.13467,amenities,theatre/performance and concert hall,Arts Club Theatre - Revue Stage,Vancouver,5915022
49.261346,-123.1382118,amenities,theatre/performance and concert hall,Arts Club Theatre - Stanley Industrial Alliance Stage,Vancouver,5915022
49.282941,-123.104299,amenities,gallery,Artspeak Gallery,Vancouver,5915022
49.2799985,-123.1179808,amenities,museum,Artstarts In Schools,Vancouver,5915022
49.2769146,-123.0698555,amenities,theatre/performance and concert hall,Astorino's Hall,Vancouver,5915022
49.282395,-123.108715,amenities,gallery,Audain Gallery,Vancouver,5915022
49.2809655,-123.1071802,amenities,gallery,Ayden Gallery,Vancouver,5915022
49.2811369,-123.0913998,amenities,gallery,Back Gallery Project,Vancouver,5915022
49.262669,-123.102505,amenities,museum,Baf Studio,Vancouver,5915022
49.2758184,-123.1000334,amenities,museum,Basic Inquiry,Vancouver,5915022
49.258496,-123.1391799,amenities,gallery,Bau-Xi Gallery,Vancouver,5915022
49.16829541,-122.57544,amenities,museum,BC Farm Machinery & Agricultural Museum Association,Langley,5915001
49.2643712,-123.2154904,amenities,museum,BC Golf House Society,Greater Vancouver A,5915020
49.27937945,-123.1107111,amenities,museum,BC Regiment (Duke of Connaught's Own) Museum,Vancouver,5915022
49.27619,-123.110438,amenities,museum,BC Sports Hall of Fame Museum,Vancouver,5915022
49.17032581,-122.5773185,amenities,gallery,Bearga Gallery,Langley,5915001
49.2634318,-123.251485,amenities,museum,Beaty Biodiversity Museum,Greater Vancouver A,5915020
49.33747064,-123.1023904,amenities,gallery,Bel Art Gallery,North Vancouver,5915046
49.2799979,-122.9156806,amenities,museum,Bill Reid Centre For Northwest Coast Studies At Simon Fraser University,Burnaby,5915025
49.284308,-123.119819,amenities,gallery,Bill Reid Gallery,Vancouver,5915022
49.16712676,-122.5808057,amenities,gallery,Birthplace of BC Gallery,Langley,5915001
49.242077,-123.113759,amenities,museum,Bloedel Conservatory,Vancouver,5915022
49.228683,-123.006456,amenities,library or archives,Bob Prittie Metrotown Branch,Burnaby,5915025
49.22815036,-123.0063797,amenities,library or archives,Bob Prittie Metrotown Library,Burnaby,5915025
49.387838,-123.3325302,amenities,museum,Bowen Island Museum And Archives,Bowen Island,5915062
49.379668,-123.333937,amenities,library or archives,Bowen Island Public Library,Bowen Island,5915062
49.20563967,-122.923408,amenities,artist,Brenda Lee Fairfax,New Westminster,5915029
49.16293,-123.142625,amenities,library or archives,Brighouse (Main) Branch,Richmond,5915015
49.2756,-123.0738,amenities,library or archives,Britannia,Vancouver,5915022
49.1203872,-123.1693557,amenities,heritage or historic site,Britannia Shipyards National Historic Site,Richmond,5915015
49.31993995,-122.8890636,amenities,library or archives,British Columbia History of Nursing Society,Port Moody,5915043
49.07501894,-122.6682286,amenities,library or archives,Brookswood Library,Langley,5915001
49.20479302,-122.9094657,amenities,artist,Bully's Studios Inc,New Westminster,5915029
49.24092931,-122.9713007,amenities,gallery,Burnaby Art Gallery,Burnaby,5915025
49.2394477,-122.9672589,amenities,museum,Burnaby Village Museum,Burnaby,5915025
49.184558,-123.095055,amenities,library or archives,Cambie Branch,Richmond,5915015
49.253462,-122.899745,amenities,library or archives,Cameron,Burnaby,5915025
49.25381086,-122.8985944,amenities,library or archives,Cameron Library,Burnaby,5915025
49.2016302,-122.9117763,amenities,museum,Canadian Lacrosse Hall of Fame & Museum,New Westminster,5915029
49.09920599,-122.6260122,amenities,museum,Canadian Museum Flight Association,Langley,5915001
..,..,amenities,museum,Canadian Museum of Flight Association,Langley,5915001
49.278055,-123.127484,amenities,museum,Canadian Music Centre (BC Region),Vancouver,5915022
49.217061,-123.1169866,amenities,gallery,Canadian Society of Asian Arts,Vancouver,5915022
49.21466644,-122.9229655,amenities,artist,Candice James,New Westminster,5915029
49.337232,-123.102372,amenities,library or archives,Capilano,North Vancouver,5915046
49.31615035,-123.0202274,amenities,theatre/performance and concert hall,Capilano College Performing Arts Theatre,North Vancouver,5915046
49.317592,-123.0210051,amenities,library or archives,Capilano University Archives,North Vancouver,5915046
..,..,amenities,library or archives,Cariboo Regional District Library System,Bowen Island,5915062
