"fromId","type","time_groups","pop"
"59150004004","gallery","45",35
"59150004004","library or archives","45",35
"59150004004","museum","45",35
"59150004004","theatre/performance and concert hall","60",35
"59150004005","gallery","45",50
"59150004005","library or archives","45",50
"59150004005","museum","45",50
"59150004005","theatre/performance and concert hall","60",50
"59150004006","gallery","45",94
"59150004006","library or archives","45",94
"59150004006","museum","45",94
"59150004006","theatre/performance and concert hall","60",94
"59150004011","gallery","45",0
"59150004011","library or archives","45",0
"59150004011","museum","45",0
"59150004011","theatre/performance and concert hall","60",0
"59150004012","gallery","45",0
"59150004012","library or archives","45",0
"59150004012","museum","45",0
"59150004012","theatre/performance and concert hall","60",0
"59150004013","gallery","45",0
"59150004013","library or archives","45",0
"59150004013","museum","60",0
"59150004013","theatre/performance and concert hall","60",0
"59150004014","gallery","75",0
"59150004014","library or archives","75",0
"59150004014","museum","90",0
"59150004014","theatre/performance and concert hall","90",0
"59150004017","gallery","75",0
"59150004017","library or archives","75",0
"59150004017","museum","90",0
"59150004017","theatre/performance and concert hall","90",0
"59150004018","gallery","75",189
"59150004018","library or archives","75",189
"59150004018","museum","90",189
"59150004018","theatre/performance and concert hall","90",189
"59150004019","gallery","75",0
"59150004019","library or archives","75",0
"59150004019","museum","90",0
"59150004019","theatre/performance and concert hall","90",0
"59150005003","gallery","45",88
"59150005003","library or archives","45",88
"59150005003","museum","60",88
"59150005003","theatre/performance and concert hall","60",88
"59150005007","gallery","45",24
"59150005007","library or archives","45",24
"59150005007","museum","45",24
"59150005007","theatre/performance and concert hall","60",24
"59150005015","gallery","60",0
"59150005015","library or archives","60",0
"59150005015","museum","60",0
"59150005015","theatre/performance and concert hall","60",0
"59150005016","gallery","45",74
"59150005016","library or archives","45",74
"59150005016","museum","45",74
"59150005016","theatre/performance and concert hall","60",74
"59150005017","gallery","45",317
"59150005017","library or archives","45",317
"59150005017","museum","45",317
"59150005017","theatre/performance and concert hall","60",317
"59150006004","gallery","45",29
"59150006004","library or archives","45",29
"59150006004","museum","60",29
"59150006004","theatre/performance and concert hall","60",29
"59150006005","gallery","45",10
"59150006005","library or archives","45",10
"59150006005","museum","45",10
"59150006005","theatre/performance and concert hall","60",10
"59150006006","gallery","60",93
"59150006006","library or archives","45",93
"59150006006","museum","60",93
"59150006006","theatre/performance and concert hall","75",93
"59150006007","gallery","60",32
