"fromId","type","time_groups","pop"
"2.92239849297486e-313","gallery","45",35
"2.92239849297486e-313","library or archives","45",35
"2.92239849297486e-313","museum","45",35
"2.92239849297486e-313","theatre/performance and concert hall","60",35
"2.92239849302426e-313","gallery","45",50
"2.92239849302426e-313","library or archives","45",50
"2.92239849302426e-313","museum","45",50
"2.92239849302426e-313","theatre/performance and concert hall","60",50
"2.92239849307367e-313","gallery","45",94
"2.92239849307367e-313","library or archives","45",94
"2.92239849307367e-313","museum","45",94
"2.92239849307367e-313","theatre/performance and concert hall","60",94
"2.9223984933207e-313","gallery","45",0
"2.9223984933207e-313","library or archives","45",0
"2.9223984933207e-313","museum","45",0
"2.9223984933207e-313","theatre/performance and concert hall","60",0
"2.92239849337011e-313","gallery","45",0
"2.92239849337011e-313","library or archives","45",0
"2.92239849337011e-313","museum","45",0
"2.92239849337011e-313","theatre/performance and concert hall","60",0
"2.92239849341952e-313","gallery","45",0
"2.92239849341952e-313","library or archives","45",0
"2.92239849341952e-313","museum","60",0
"2.92239849341952e-313","theatre/performance and concert hall","60",0
"2.92239849346892e-313","gallery","75",0
"2.92239849346892e-313","library or archives","75",0
"2.92239849346892e-313","museum","90",0
"2.92239849346892e-313","theatre/performance and concert hall","90",0
"2.92239849361714e-313","gallery","75",0
"2.92239849361714e-313","library or archives","75",0
"2.92239849361714e-313","museum","90",0
"2.92239849361714e-313","theatre/performance and concert hall","90",0
"2.92239849366655e-313","gallery","75",189
"2.92239849366655e-313","library or archives","75",189
"2.92239849366655e-313","museum","90",189
"2.92239849366655e-313","theatre/performance and concert hall","90",189
"2.92239849371596e-313","gallery","75",0
"2.92239849371596e-313","library or archives","75",0
"2.92239849371596e-313","museum","90",0
"2.92239849371596e-313","theatre/performance and concert hall","90",0
"2.92239854233202e-313","gallery","45",88
"2.92239854233202e-313","library or archives","45",88
"2.92239854233202e-313","museum","60",88
"2.92239854233202e-313","theatre/performance and concert hall","60",88
"2.92239854252964e-313","gallery","45",24
"2.92239854252964e-313","library or archives","45",24
"2.92239854252964e-313","museum","45",24
"2.92239854252964e-313","theatre/performance and concert hall","60",24
"2.92239854292489e-313","gallery","60",0
"2.92239854292489e-313","library or archives","60",0
"2.92239854292489e-313","museum","60",0
"2.92239854292489e-313","theatre/performance and concert hall","60",0
"2.9223985429743e-313","gallery","45",74
"2.9223985429743e-313","library or archives","45",74
"2.9223985429743e-313","museum","45",74
"2.9223985429743e-313","theatre/performance and concert hall","60",74
"2.92239854302371e-313","gallery","45",317
"2.92239854302371e-313","library or archives","45",317
"2.92239854302371e-313","museum","45",317
"2.92239854302371e-313","theatre/performance and concert hall","60",317
"2.92239859178799e-313","gallery","45",29
"2.92239859178799e-313","library or archives","45",29
"2.92239859178799e-313","museum","60",29
"2.92239859178799e-313","theatre/performance and concert hall","60",29
"2.92239859183739e-313","gallery","45",10
"2.92239859183739e-313","library or archives","45",10
"2.92239859183739e-313","museum","45",10
"2.92239859183739e-313","theatre/performance and concert hall","60",10
"2.9223985918868e-313","gallery","60",93
"2.9223985918868e-313","library or archives","45",93
"2.9223985918868e-313","museum","60",93
"2.9223985918868e-313","theatre/performance and concert hall","75",93
"2.92239859193621e-313","gallery","60",32
"2.92239859193621e-313","library or archives","60",32
"2.92239859193621e-313","museum","60",32
"2.92239859193621e-313","theatre/performance and concert hall","75",32
"2.92239859208443e-313","gallery","60",107
"2.92239859208443e-313","library or archives","60",107
"2.92239859208443e-313","museum","60",107
"2.92239859208443e-313","theatre/performance and concert hall","75",107
"2.92239859213383e-313","gallery","45",161
"2.92239859213383e-313","library or archives","45",161
"2.92239859213383e-313","museum","45",161
"2.92239859213383e-313","theatre/performance and concert hall","60",161
"2.92239864134277e-313","gallery","60",108
"2.92239864134277e-313","library or archives","60",108
"2.92239864134277e-313","museum","60",108
"2.92239864134277e-313","theatre/performance and concert hall","75",108
"2.92239864139218e-313","gallery","60",146
"2.92239864139218e-313","library or archives","60",146
"2.92239864139218e-313","museum","60",146
"2.92239864139218e-313","theatre/performance and concert hall","75",146
"2.92239869055171e-313","gallery","60",72
"2.92239869055171e-313","library or archives","60",72
"2.92239869055171e-313","museum","60",72
"2.92239869055171e-313","theatre/performance and concert hall","75",72
"2.92239869069993e-313","gallery","60",215
"2.92239869069993e-313","library or archives","45",215
"2.92239869069993e-313","museum","60",215
"2.92239869069993e-313","theatre/performance and concert hall","75",215
"2.92239869074934e-313","gallery","60",20
"2.92239869074934e-313","library or archives","45",20
"2.92239869074934e-313","museum","60",20
"2.92239869074934e-313","theatre/performance and concert hall","75",20
"2.92239869079874e-313","gallery","60",111
"2.92239869079874e-313","library or archives","60",111
"2.92239869079874e-313","museum","60",111
"2.92239869079874e-313","theatre/performance and concert hall","75",111
"2.92239869084815e-313","gallery","60",178
"2.92239869084815e-313","library or archives","60",178
"2.92239869084815e-313","museum","60",178
"2.92239869084815e-313","theatre/performance and concert hall","75",178
"2.92239873985946e-313","gallery","60",23
"2.92239873985946e-313","library or archives","60",23
"2.92239873985946e-313","museum","60",23
"2.92239873985946e-313","theatre/performance and concert hall","75",23
"2.92239873990887e-313","gallery","60",41
"2.92239873990887e-313","library or archives","60",41
"2.92239873990887e-313","museum","60",41
"2.92239873990887e-313","theatre/performance and concert hall","75",41
"2.92239873995827e-313","gallery","60",172
"2.92239873995827e-313","library or archives","45",172
"2.92239873995827e-313","museum","60",172
"2.92239873995827e-313","theatre/performance and concert hall","75",172
"2.92239874020531e-313","gallery","60",100
"2.92239874020531e-313","library or archives","60",100
"2.92239874020531e-313","museum","60",100
"2.92239874020531e-313","theatre/performance and concert hall","75",100
"2.92239874025471e-313","gallery","60",10
"2.92239874025471e-313","library or archives","60",10
"2.92239874025471e-313","museum","60",10
"2.92239874025471e-313","theatre/performance and concert hall","75",10
"2.92239874069937e-313","gallery","60",0
"2.92239874069937e-313","library or archives","60",0
"2.92239874069937e-313","museum","60",0
"2.92239874069937e-313","theatre/performance and concert hall","75",0
"2.92239874074878e-313","gallery","60",0
"2.92239874074878e-313","library or archives","60",0
"2.92239874074878e-313","museum","60",0
"2.92239874074878e-313","theatre/performance and concert hall","75",0
"2.92239874084759e-313","gallery","60",53
"2.92239874084759e-313","library or archives","60",53
"2.92239874084759e-313","museum","60",53
"2.92239874084759e-313","theatre/performance and concert hall","75",53
"2.922398740897e-313","gallery","60",0
"2.922398740897e-313","library or archives","60",0
"2.922398740897e-313","museum","60",0
"2.922398740897e-313","theatre/performance and concert hall","75",0
"2.92239878926603e-313","gallery","60",147
"2.92239878926603e-313","library or archives","60",147
"2.92239878926603e-313","museum","60",147
"2.92239878926603e-313","theatre/performance and concert hall","75",147
"2.92239878936484e-313","gallery","45",34
"2.92239878936484e-313","library or archives","45",34
"2.92239878936484e-313","museum","45",34
"2.92239878936484e-313","theatre/performance and concert hall","75",34
"2.92239878941425e-313","gallery","60",145
"2.92239878941425e-313","library or archives","45",145
"2.92239878941425e-313","museum","60",145
"2.92239878941425e-313","theatre/performance and concert hall","75",145
"2.92239878946365e-313","gallery","60",30
