LIBRARY_SYSTEM,LOCATION,BRANCH_UNIQUE_ID,SCHOOL_DISTRICT_SERVED,PHONE,PHYSICAL_ADDRESS,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,MTLS_OUTLET,MTLS_CIRC_B,CIRC_CHILD_MTLS_B,REF_TRANS_B,VISITS_B,AD_INLIB_PGMS_B ,AD_OUT_PGMS_B ,ADULT_ATTEND_B ,CH_INLIB_PGMS_B ,CH_OUT_PGMS_B ,CHILD_ATTEND_B ,YA_INLIB_PGMS_B ,YA_OUT_PGMS_B ,YA_ATTEND_B ,ESL_INLIB_PGMS_B ,ESL_OUT_PGMS_B ,ESL_ATTEND_B ,LIBRARIAN_HRS_B ,LIB_TECH_HRS_B ,COMM_LIB_HRS_B ,OTH_HRS_B ,branch_copiers ,LEED_CERT_B ,SHRD_FAC ,FLOORSPACE ,HRS_OPEN ,DAYS_OPEN 
Alert Bay Public Library & Museum,Alert Bay Public Library & Museum,BABM001,85,(250) 974-5721,116 Fir Street,Alert Bay,BC,V0N 1A0,50.58482263,-126.9289784,9361,2460,193,1700,3522,0,1,22,0,3,235,0,0,0,0,0,0,0,0,622,281,1,,,213.36,618,191
Beaver Valley Public Library,Beaver Valley Public Library,BFBV001,20,(250) 367-7114,1847 - 1st Street,Fruitvale,BC,V0G 1L0,49.11296561,-117.5514546,25477,19792,4737,10000,14750,8,2,202,100,10,1208,0,0,0,0,0,0,0,0,4940,1350,1,No,No,270,2320,321
Bowen Island Public Library,Bowen Island Public Library,BBI001,45,(604) 947-9788,430 Bowen Island Trunk,Bowen Island,BC,V0N 1G0,49.3799063,-123.3340368,15100,36155,15964,8217,52690,499,0,1381,94,5,1224,0,0,0,0,0,0,1820,0,0,4107,1,No,Yes,407,1953,303
Burnaby Public Library,Bob Prittie Metrotown Branch,BB001,41,(604) 436-5427,6100 Willingdon Avenue,Burnaby,BC,V5H 4N5,49.22830117,-123.0063419,"373,232","1,139,184","476,345","107,784","749,695",58,101,"3,865",402,39,"19,522",12,84,"2,923",26,0,528,"42,224","1,733",,"104,199",4,No,No,"5,673.00","3,612",339
Burnaby Public Library,Cameron Library & Recreation Centre,BB002,41,(604) 421-5454,9523 Cameron Street,Burnaby,BC,V3J 1L6,49.25381414,-122.898601,"59,958","454,254","227,553","20,436","247,701",50,8,"1,067",221,18,"11,112",4,0,38,11,0,78,"6,834",,,"16,311",1,No,Yes,465,"2,901",341
Burnaby Public Library,McGill Branch,BB003,41,(604) 299-8955,4595 Albert St,Burnaby,BC,V5C 2G6,49.28269631,-123.0007129,"163,916","828,445","405,519","28,298","440,899",108,1,"2,843",280,31,"14,371",20,0,190,6,0,113,"12,762",,,"29,319",1,No,No,"1,860.00","3,329",341
Burnaby Public Library,Tommy Douglas Library,BB004,41,(604) 522-3971,7311 Kingsway,Burnaby,BC,V5E 1G8,49.21872224,-122.9523712,"90,645","564,075","307,675","42,845","387,327",163,18,"3,044",177,42,"10,501",4,0,81,43,0,484,"10,520",,,"26,956",1,Yes,No,"1,627.50","3,329",341
Burns Lake Public Library,Burns Lake Public Library,BBUL001,91,(250) 692-3192,585 Government Street,Burns Lake,BC,V0J 1E0,54.23326673,-125.7654673,44271,49526,12936,,,7,0,,135,5,1396,10,0,52,0,0,,0,0,2402,8457,2,No,No,684,,298
Cariboo Regional District Library System,100 Mile House Branch,BWLC001,27,(250) 395-2332,449 S. Birch Avenue,100 Mile House,BC,V0K 2E0,51.64144163,-121.2954417,"36,997","96,788","15,217","14,230","75,518",1,15,59,275,0,"1,257",1,0,19,0,0,0,0,"3,640",0,"7,778",1,No,No,815,"2,194",239
Cariboo Regional District Library System,Alexis Creek Branch,BWLC002,27,(250) 394-4346,7651 Yells Road,Alexis Creek,BC,V0L 1A0,52.08563976,-123.275659,"6,054",954,219,80,675,4,0,10,1,0,6,0,0,0,0,0,0,0,0,0,416,1,No,Yes,15,388,97
Cariboo Regional District Library System,Anahim Lake Branch,BWLC003,27,(250) 742- 2056,"Unit #1 - 2409 Whispering Pines Trailer Court, Hwy 20",Anahim Lake,BC,V0L 1C0,52.46063019,-125.3052662,"4,592",683,29,12,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,1,No,No,89,402,102
Cariboo Regional District Library System,Big Lake Branch,BWLC004,59,(250) 243-2355,4056 Lakeview Rd,Big Lake,BC,V0L 1G0,52.37852508,-121.8775774,"7,380","5,082","1,663",501,"2,058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1,No,Yes,28,536,104
Cariboo Regional District Library System,Forest Grove Branch,BWLC006,27,(250 593-4545,4485 Eagle Creek Road,Forest Grove,BC,V0K 1M0,51.77031373,-121.0968755,"5,444","2,309",315,569,"2,617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1,No,No,96,468,117
Cariboo Regional District Library System,Horsefly Branch,BWLC007,27,(250) 397-2927,5779 Walters Drive,Horsefly,BC,V0L 1L0,52.333719,-121.420555,"4,400","3,163",129,55,"1,510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,1,No,Yes,76,500,100
Cariboo Regional District Library System,Interlakes Branch,BWLC005,27,(250) 620-3345,7170 Levick Crescent,Lone Butte,BC,V0K 1X1,51.546972,-120.91323,"6,750","5,665",784,358,"3,215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1,No,No,89,624,156
Cariboo Regional District Library System,Lac La Hache Branch,BWLC008,27,(250) 396-7642,4787 Clark Avenue,Lac La Hache,BC,V0K 1T0,51.8186098,-121.48234,"6,419","1,135",136,10,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,1,No,Yes,89,495,99
Cariboo Regional District Library System,Likely Branch,BWLC009,27,(250) 790-2234,6163 Keithly Creek Road,Likely,BC,V0L 1N0,52.61655923,-121.5584552,"7,298","2,070",932,0,"1,211",0,0,0,65,0,565,0,0,0,0,0,0,0,0,0,419,1,No,No,89,408,102
Cariboo Regional District Library System,McLeese Lake Branch,BWLC010,27,(250) 297-6533,6749 Highway 97 N,McLeese Lake,BC,V0L 1P0,52.42502225,-122.3097044,"4,038","1,186",45,4,"1,013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,1,No,No,96,390,78
Cariboo Regional District Library System,Nazko Branch,BWLC011,28,(250) 249-5289,1351 Palmer Road,Quesnel,BC,V2J 3H9,52.92677823,-123.5577776,"7,935","1,990",261,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,1,No,No,71,368,92
Cariboo Regional District Library System,Quesnel Branch,BWLC012,28,(250) 992-7912,101 - #410 Kinchant Street,Quesnel,BC,V2J 7J5,52.979328,-122.493927,"66,598","97,349","19,676","8,641","54,236",45,6,644,163,0,"1,755",1,0,3,0,0,0,"1,820","1,820",0,"8,402",1,No,Yes,"1,171.00","2,288",260
Cariboo Regional District Library System,Tatla Lake Branch,BWLC013,27,(250) 476-3424,16451 Chilcotin Highway 20,Tatla Lake,BC,V0L 1V0,51.9051198,-124.5998194,"6,238","3,017",566,132,"1,641",4,0,17,16,0,126,0,0,0,0,0,0,0,0,0,624,1,No,Yes,56,612,102
Cariboo Regional District Library System,Wells Branch,BWLC014,28,(250) 994-3424,4269 Saunders Avenue,Wells,BC,V0K 2R0,53.104898,-121.572226,"8,100","1,375",269,347,"1,141",5,0,13,0,3,60,0,1,4,0,0,0,0,0,0,624,1,No,Yes,84,624,208
Cariboo Regional District Library System,Williams Lake Branch,BWLC015,27,(250) 392-3630,Suite A - 180 North 3rd Avenue,Williams Lake,BC,V2G 2A4,52.13077538,-122.1423079,"75,763","118,264","28,755","4,010","160,319",37,26,383,145,17,"2,015",10,0,56,0,0,0,"1,820","1,820",0,"8,792",1,No,Yes,998,"2,204",250
Castlegar & District Public Library,Castlegar & District Public Library,BCD001,20,(250) 365-6611,1005 Third Street,Castlegar,BC,V1N 2A2,49.32664889,-117.6635686,75228,119509,45595,2365,87699,80,49,497,173,100,3690,14,0,77,73,0,690,1820,3990,4620,1909,1,No,No,1222,2864,326
Chetwynd Public Library,Chetwynd Public Library,BCHE001,59,(250) 788-2559,5012 - 46th Street,Chetwynd,BC,V0C 1J0,55.69513649,-121.6133566,28674,24157,12028,12547,59168,,25,1002,258,13,2318,,0,,0,0,,,,7348,3632,1,No,No,724,3133,349
Coquitlam Public Library,City Centre Branch,BCOQ001,43,(604) 554-7323,1169 Pinetree Way,Coquitlam,BC,V3B 0Y1,49.28109578,-122.7926751,"85,271","549,829","298,108","27,615","572,820",335,19,"8,658",364,87,"28,944",80,3,"2,685",279,24,"8,164","10,032","1,423",,"23,511",3,No,No,"3,205.00","3,630",357
Coquitlam Public Library,Poirier Branch,BCOQ002,43,,575 Poirier Street,Coquitlam,BC,V3J 6A9,49.25349865,-122.8456723,"2,607","38,437","35,361",,"12,163",,,,,,,,,,,,,,,,"3,346",0,No,No,12,715,204
Cranbrook Public Library,Cranbrook Public Library,BCR001,43,(604) 937-4141,1212 2nd Street N,Cranbrook,BC,V1C 4T6,49.51424132,-115.7638234,"71,823","481,970","222,219","22,062","292,334",85,21,"1,854",146,85,"12,513",44,5,"1,760",74,36,"2,092","14,476","4,261",,"33,851",4,No,No,"2,200.00","3,422",344
Creston Public Library Association,Creston Public Library Association,BCRE001,5,(250) 426-4063,531 - 16th Avenue S,Creston,BC,V0B 1G5,49.0896777,-116.5060845,71830,150024,48860,11363,131858,271,32,1914,394,5,"8,955",11,0,79,,,,2870,1476,2912,14094,2,No,Yes,1298,3404,351
Dawson Creek Municipal Public Library,Dawson Creek Municipal Public Library,BDC001,8,(250) 428-4141,1001 McKellar Avenue,Dawson Creek,BC,V1G 4W7,55.75364362,-120.23496,37856,104365,30391,,84525,125,29,1616,236,43,4896,23,6,128,0,0,0,1680,0,0,6692,1,No,Yes,836,1950,260
Elkford Public Library,Elkford Public Library,BELK001,59,(250) 782-4661,816 Michel Road,Elkford,BC,V0B 1H0,50.02300688,-114.921316,69638,58484,4846,5400,,50,3,635,102,7,1836,2,1,59,0,0,0,0,3900,0,10686,2,No,No,939,2741,349
Fernie Public Library,Fernie Public Library,BF001,5,(250) 865-2912,492 Third Avenue,Fernie,BC,V0B 1M0,49.503354,-115.06284,27535,6907,3586,2253,7300,5,3,154,5,1,105,3,1,49,0,0,0,0,0,2009,1750,2,No,Yes,252,1683,255
Fort Nelson Public Library,Fort Nelson Public Library,BFN001,5,(250) 423-4458,5315 - 50th Avenue S,Fort Nelson,BC,V0C 1R0,58.80384258,-122.7064804,38684,52453,26313,26450,65050,54,98,2480,318,45,11397,8,4,67,2,2,20,0,0,4800,1800,1,No,No,810,2200,275
Fort St. James Centennial Library,Fort St. James Centennial Library,BFSJA001,81,(250) 774-6777,425 Manson Street,Fort St. James,BC,V0J 1P0,54.44438006,-124.2565265,37513,42990,17140,1039,27906,36,4,511,130,8,1782,18,0,254,0,0,0,1820,0,0,6682,2,No,No,655,2402,333
Fort St. John Public Library Association,Fort St. John Public Library Association,BFSJ001,91,(250) 996-7431,10015 - 100th Avenue,Fort St. John,BC,V1J 1Y7,56.2460162,-120.8480297,16650,16781,3706,5600,19976,12,1,99,66,1,795,0,0,0,0,0,,1924,0,1820,1807,2,No,No,372,1510,241
Fraser Lake Public Library,Fraser Lake Public Library,BFRL001,60,(250) 785-3731,280 Endako Avenue,Fraser Lake,BC,V0J 1S0,54.05622365,-124.8490976,61930,107981,54988,,79769,5,1,3662,,108,9877,,,,1,,,2080,1560,0,12566,1,No,Yes,720,2441,289
Fraser Valley Regional Library,Abbotsford Community Library,BABF016,91,(250) 699-8888,33660 South Fraser Way,Abbotsford,BC,V2S 2B9,49.04850436,-122.2923684,22595,9062,2045,2600,6800,60,16,544,79,9,1077,0,0,0,0,0,0,0,0,0,4495,,No,No,3600,1664,260
Fraser Valley Regional Library,Agassiz Library,BABF002,34,(604) 853-1753,7140 Cheam Ave,Agassiz,BC,V0M 1A0,49.23788694,-121.7627376,"37,013","322,003","150,521","9,092","156,573",79,23,"3,679",54,23,"3,410",3,0,62,2,1,62,"1,820","4,121",0,"10,125",2,No,Yes,"1,022.00","3,061",345
