poi_name,Name,pid,Rating,Total_Review
12 Service Battalion Museum,39 Service Battalion (12 Company) Richmond,ChIJhwQHwzh1hlQRJdE3ZdQPI9I,5,7.0
15th Field Artillery Regiment Museum And Archives,15th Field Artillery Regiment (RCA),ChIJpdEUnLBzhlQR0ome6cv5el8,5,4.0
221A Artist Run Centre,,0,,
7302754 Canada Inc,,0,,
Abc Heritage Preschool And Child Care,ABC Preschool Academy,ChIJF3ZMao7RhVQRYMRn09PBo34,no data,0.0
Adamsons Heritage Nursery Ltd,Agriforest Bio-Technologies Ltd,ChIJQfsQ7fOLfVMRcUmdvbgiS-Y,4.9,8.0
Agassiz Library,Agassiz Library,ChIJNaGyI2sThFQRQ33H2ji42y4,5,8.0
Ahva Gallery,Ponderosa Commons East (Audain Art Centre and Spruce House),ChIJaUbtlrVyhlQREWwxkqr-Y9A,5,1.0
Aldergrove Festival Days Society,Aldergrove Festival Days,ChIJ_2qFN77LhVQRnDAtPFnP5GI,5,4.0
Aldergrove Library,Aldergrove Library,ChIJnUQ_GcLLhVQR45Ya8rbkqjs,4.9,18.0
Alliance For Arts And Culture,Alliance for Arts and Culture,ChIJ5WClfNVzhlQR18C_tp4-Ny0,4.8,8.0
Amelia Douglas Gallery,Douglas College,ChIJyU3u9XHYhVQRPy86XwYQp_M,3.9,286.0
Angie Au Hemphill Studio,,0,,
Anvil Centre/Museum And Archives,New Westminster Museum,ChIJVWdV0gzYhVQRObpum5rNjd0,4.3,72.0
Anza Club (Australia-New Zealand Association),The Anza Club,ChIJfbmDXuBzhlQRBgWCKERYmME,4.4,195.0
Architectural Institute of BC Gallery,Architectural Institute of British Columbia,ChIJkUVKKXhxhlQRLvKX6Ir1X8w,4.6,11.0
Archives of Anglican Provincial Synod of British Columbia And Diocese of New Westminster,Archives of Anglican Provincial Synod of British Columbia and of the Diocese of New Westminster,ChIJJW_2ZI50j1QR2bAlyZ-B9-Q,no data,0.0
Art Beatus,Art Beatus Consultancy Ltd,ChIJI6T7EtVzhlQRkZ-X3oqE714,no data,0.0
